# energy density [MeV fm-3], pressure [MeV fm-3], baryon density [1/fm-3], chemical potential [MeV], strangeness fraction [admin]
1771.615019, 732.031593, 1.251824, 2000.000000, 0.837544
1771.408602, 731.906415, 1.251721, 1999.900000, 0.837509
1771.202110, 731.781249, 1.251617, 1999.800000, 0.837475
1770.995754, 731.656092, 1.251514, 1999.700000, 0.837441
1770.790081, 731.530946, 1.251412, 1999.600000, 0.837406
1770.582370, 731.405810, 1.251306, 1999.500000, 0.837371
1770.377578, 731.280685, 1.251205, 1999.400000, 0.837337
1770.170457, 731.155569, 1.251101, 1999.300000, 0.837303
1769.964432, 731.030464, 1.250998, 1999.200000, 0.837268
1769.757698, 730.905370, 1.250894, 1999.100000, 0.837233
1769.550881, 730.780286, 1.250790, 1999.000000, 0.837199
1769.345654, 730.655212, 1.250689, 1998.900000, 0.837164
1769.139305, 730.530148, 1.250585, 1998.800000, 0.837130
1768.932534, 730.405095, 1.250482, 1998.700000, 0.837095
1768.726694, 730.280052, 1.250379, 1998.600000, 0.837061
1768.519888, 730.155019, 1.250275, 1998.500000, 0.837026
1768.313721, 730.029997, 1.250172, 1998.400000, 0.836991
1768.107640, 729.904985, 1.250068, 1998.300000, 0.836957
1767.902267, 729.779983, 1.249966, 1998.200000, 0.836923
1767.694701, 729.654991, 1.249861, 1998.100000, 0.836888
1767.489351, 729.530010, 1.249759, 1998.000000, 0.836853
1767.283394, 729.405040, 1.249656, 1997.900000, 0.836819
1767.077228, 729.280079, 1.249554, 1997.800000, 0.836784
1766.870983, 729.155129, 1.249450, 1997.700000, 0.836750
1766.664311, 729.030189, 1.249346, 1997.600000, 0.836715
1766.458977, 728.905260, 1.249244, 1997.500000, 0.836680
1766.253088, 728.780340, 1.249141, 1997.400000, 0.836646
1766.047030, 728.655432, 1.249038, 1997.300000, 0.836611
1765.839531, 728.530533, 1.248933, 1997.200000, 0.836576
1765.635013, 728.405645, 1.248832, 1997.100000, 0.836542
1765.427672, 728.280767, 1.248727, 1997.000000, 0.836507
1765.223434, 728.155899, 1.248626, 1996.900000, 0.836473
1765.014482, 728.031042, 1.248519, 1996.800000, 0.836438
1764.810024, 727.906195, 1.248418, 1996.700000, 0.836403
1764.604193, 727.781359, 1.248315, 1996.600000, 0.836369
1764.396927, 727.656532, 1.248210, 1996.500000, 0.836334
1764.191691, 727.531716, 1.248108, 1996.400000, 0.836299
1763.985970, 727.406911, 1.248005, 1996.300000, 0.836265
1763.780006, 727.282115, 1.247902, 1996.200000, 0.836230
1763.573493, 727.157330, 1.247798, 1996.100000, 0.836195
1763.367755, 727.032556, 1.247695, 1996.000000, 0.836161
1763.161832, 726.907791, 1.247592, 1995.900000, 0.836126
1762.955366, 726.783037, 1.247488, 1995.800000, 0.836091
1762.749760, 726.658293, 1.247385, 1995.700000, 0.836057
1762.543322, 726.533560, 1.247282, 1995.600000, 0.836022
1762.339291, 726.408837, 1.247181, 1995.500000, 0.835987
1762.131247, 726.284124, 1.247075, 1995.400000, 0.835952
1761.926992, 726.159422, 1.246974, 1995.300000, 0.835918
1761.721370, 726.034729, 1.246871, 1995.200000, 0.835883
1761.514249, 725.910048, 1.246767, 1995.100000, 0.835848
1761.308398, 725.785376, 1.246663, 1995.000000, 0.835813
1761.103984, 725.660715, 1.246562, 1994.900000, 0.835779
1760.896024, 725.536064, 1.246456, 1994.800000, 0.835744
1760.691798, 725.411423, 1.246355, 1994.700000, 0.835709
1760.484689, 725.286793, 1.246250, 1994.600000, 0.835674
1760.278350, 725.162173, 1.246146, 1994.500000, 0.835639
1760.074067, 725.037564, 1.246046, 1994.400000, 0.835605
1759.867698, 724.912964, 1.245941, 1994.300000, 0.835570
1759.661967, 724.788375, 1.245838, 1994.200000, 0.835535
1759.455693, 724.663797, 1.245734, 1994.100000, 0.835500
1759.250246, 724.539229, 1.245632, 1994.000000, 0.835465
1759.044401, 724.414671, 1.245528, 1993.900000, 0.835431
1758.838982, 724.290123, 1.245426, 1993.800000, 0.835396
1758.632449, 724.165586, 1.245321, 1993.700000, 0.835361
1758.427000, 724.041059, 1.245218, 1993.600000, 0.835326
1758.221970, 723.916542, 1.245116, 1993.500000, 0.835292
1758.014729, 723.792035, 1.245011, 1993.400000, 0.835256
1757.810202, 723.667539, 1.244910, 1993.300000, 0.835221
1757.604338, 723.543054, 1.244806, 1993.200000, 0.835187
1757.398207, 723.418578, 1.244703, 1993.100000, 0.835152
1757.192028, 723.294113, 1.244598, 1993.000000, 0.835117
1756.987086, 723.169658, 1.244496, 1992.900000, 0.835082
1756.781507, 723.045214, 1.244393, 1992.800000, 0.835047
1756.575436, 722.920780, 1.244290, 1992.700000, 0.835012
1756.371296, 722.796356, 1.244189, 1992.600000, 0.834978
1756.164373, 722.671942, 1.244083, 1992.500000, 0.834943
1755.959163, 722.547539, 1.243981, 1992.400000, 0.834908
1755.753119, 722.423146, 1.243877, 1992.300000, 0.834873
1755.547123, 722.298764, 1.243773, 1992.200000, 0.834837
1755.342234, 722.174392, 1.243671, 1992.100000, 0.834803
1755.137026, 722.050030, 1.243568, 1992.000000, 0.834768
1754.930192, 721.925678, 1.243463, 1991.900000, 0.834733
1754.724599, 721.801337, 1.243360, 1991.800000, 0.834698
1754.520187, 721.677006, 1.243259, 1991.700000, 0.834663
1754.314559, 721.552685, 1.243155, 1991.600000, 0.834628
1754.107031, 721.428375, 1.243049, 1991.500000, 0.834593
1753.903506, 721.304075, 1.242949, 1991.400000, 0.834559
1753.697646, 721.179786, 1.242846, 1991.300000, 0.834523
1753.492073, 721.055506, 1.242742, 1991.200000, 0.834488
1753.285302, 720.931237, 1.242637, 1991.100000, 0.834453
1753.081335, 720.806979, 1.242536, 1991.000000, 0.834419
1752.874712, 720.682730, 1.242431, 1990.900000, 0.834383
1752.669205, 720.558492, 1.242328, 1990.800000, 0.834348
1752.464874, 720.434264, 1.242226, 1990.700000, 0.834314
1752.258582, 720.310047, 1.242122, 1990.600000, 0.834278
1752.052838, 720.185840, 1.242019, 1990.500000, 0.834243
1751.848581, 720.061643, 1.241917, 1990.400000, 0.834209
1751.641989, 719.937457, 1.241812, 1990.300000, 0.834173
1751.437382, 719.813281, 1.241710, 1990.200000, 0.834138
1751.231578, 719.689115, 1.241606, 1990.100000, 0.834103
1751.025369, 719.564960, 1.241502, 1990.000000, 0.834068
1750.821164, 719.440814, 1.241400, 1989.900000, 0.834033
1750.614983, 719.316680, 1.241296, 1989.800000, 0.833998
1750.410330, 719.192555, 1.241194, 1989.700000, 0.833963
1750.203841, 719.068441, 1.241089, 1989.600000, 0.833928
1749.999340, 718.944337, 1.240987, 1989.500000, 0.833892
1749.794729, 718.820244, 1.240885, 1989.400000, 0.833858
1749.588228, 718.696160, 1.240780, 1989.300000, 0.833822
1749.382890, 718.572088, 1.240677, 1989.200000, 0.833787
1749.177230, 718.448025, 1.240573, 1989.100000, 0.833752
1748.971925, 718.323973, 1.240470, 1989.000000, 0.833717
1748.765822, 718.199931, 1.240366, 1988.900000, 0.833682
1748.561836, 718.075899, 1.240264, 1988.800000, 0.833647
1748.357269, 717.951878, 1.240162, 1988.700000, 0.833612
1748.151212, 717.827867, 1.240058, 1988.600000, 0.833577
1747.946044, 717.703866, 1.239955, 1988.500000, 0.833541
1747.740422, 717.579876, 1.239851, 1988.400000, 0.833506
1747.536794, 717.455896, 1.239750, 1988.300000, 0.833471
1747.330286, 717.331927, 1.239645, 1988.200000, 0.833436
1747.123958, 717.207967, 1.239540, 1988.100000, 0.833400
1746.920314, 717.084018, 1.239439, 1988.000000, 0.833366
1746.714355, 716.960080, 1.239335, 1987.900000, 0.833330
1746.508415, 716.836151, 1.239231, 1987.800000, 0.833295
1746.304471, 716.712233, 1.239129, 1987.700000, 0.833260
1746.098559, 716.588325, 1.239025, 1987.600000, 0.833225
1745.893476, 716.464428, 1.238922, 1987.500000, 0.833190
1745.689042, 716.340541, 1.238820, 1987.400000, 0.833155
1745.483987, 716.216664, 1.238717, 1987.300000, 0.833120
1745.277794, 716.092798, 1.238612, 1987.200000, 0.833084
1745.072965, 715.968942, 1.238510, 1987.100000, 0.833049
1744.869460, 715.845096, 1.238408, 1987.000000, 0.833014
1744.662776, 715.721261, 1.238303, 1986.900000, 0.832978
1744.456985, 715.597435, 1.238199, 1986.800000, 0.832943
1744.252373, 715.473621, 1.238096, 1986.700000, 0.832908
1744.048175, 715.349816, 1.237994, 1986.600000, 0.832873
1743.842430, 715.226022, 1.237890, 1986.500000, 0.832837
1743.636826, 715.102238, 1.237786, 1986.400000, 0.832802
1743.431857, 714.978465, 1.237683, 1986.300000, 0.832767
1743.227725, 714.854702, 1.237581, 1986.200000, 0.832732
1743.021911, 714.730949, 1.237476, 1986.100000, 0.832696
1742.816989, 714.607206, 1.237373, 1986.000000, 0.832661
1742.612081, 714.483474, 1.237271, 1985.900000, 0.832626
1742.407605, 714.359752, 1.237168, 1985.800000, 0.832590
1742.201350, 714.236041, 1.237063, 1985.700000, 0.832555
1741.996431, 714.112339, 1.236960, 1985.600000, 0.832519
1741.792337, 713.988648, 1.236858, 1985.500000, 0.832484
1741.587503, 713.864968, 1.236755, 1985.400000, 0.832449
1741.382622, 713.741298, 1.236652, 1985.300000, 0.832414
1741.176384, 713.617638, 1.236547, 1985.200000, 0.832378
1740.971598, 713.493988, 1.236444, 1985.100000, 0.832343
1740.767515, 713.370349, 1.236342, 1985.000000, 0.832308
1740.561941, 713.246720, 1.236237, 1984.900000, 0.832272
1740.357138, 713.123101, 1.236135, 1984.800000, 0.832237
1740.151849, 712.999493, 1.236031, 1984.700000, 0.832202
1739.947074, 712.875895, 1.235928, 1984.600000, 0.832166
1739.742256, 712.752307, 1.235824, 1984.500000, 0.832131
1739.537509, 712.628730, 1.235722, 1984.400000, 0.832095
1739.332275, 712.505163, 1.235618, 1984.300000, 0.832060
1739.127561, 712.381606, 1.235515, 1984.200000, 0.832025
1738.922799, 712.258060, 1.235411, 1984.100000, 0.831989
1738.718117, 712.134524, 1.235309, 1984.000000, 0.831954
1738.513757, 712.010998, 1.235207, 1983.900000, 0.831918
1738.310136, 711.887483, 1.235104, 1983.800000, 0.831884
1738.103865, 711.763978, 1.234999, 1983.700000, 0.831848
1737.899491, 711.640483, 1.234897, 1983.600000, 0.831812
1737.694064, 711.516999, 1.234793, 1983.500000, 0.831777
1737.488657, 711.393524, 1.234688, 1983.400000, 0.831741
1737.285081, 711.270061, 1.234587, 1983.300000, 0.831706
1737.080449, 711.146607, 1.234484, 1983.200000, 0.831671
1736.874331, 711.023164, 1.234379, 1983.100000, 0.831635
1736.669675, 710.899731, 1.234275, 1983.000000, 0.831599
1736.465746, 710.776309, 1.234174, 1982.900000, 0.831564
1736.261176, 710.652897, 1.234070, 1982.800000, 0.831529
1736.055808, 710.529495, 1.233966, 1982.700000, 0.831493
1735.851581, 710.406104, 1.233864, 1982.600000, 0.831457
1735.647058, 710.282722, 1.233761, 1982.500000, 0.831422
1735.441235, 710.159352, 1.233656, 1982.400000, 0.831386
1735.237831, 710.035991, 1.233554, 1982.300000, 0.831351
1735.031786, 709.912641, 1.233449, 1982.200000, 0.831315
1734.826758, 709.789301, 1.233345, 1982.100000, 0.831280
1734.623127, 709.665972, 1.233244, 1982.000000, 0.831244
1734.418629, 709.542652, 1.233141, 1981.900000, 0.831209
1734.214050, 709.419343, 1.233038, 1981.800000, 0.831173
1734.008827, 709.296045, 1.232933, 1981.700000, 0.831138
1733.804630, 709.172757, 1.232831, 1981.600000, 0.831102
1733.601068, 709.049479, 1.232729, 1981.500000, 0.831067
1733.394917, 708.926211, 1.232624, 1981.400000, 0.831031
1733.192083, 708.802954, 1.232523, 1981.300000, 0.830996
1732.985369, 708.679707, 1.232417, 1981.200000, 0.830959
1732.782401, 708.556471, 1.232316, 1981.100000, 0.830924
1732.576473, 708.433244, 1.232210, 1981.000000, 0.830889
1732.372434, 708.310028, 1.232108, 1980.900000, 0.830853
1732.168914, 708.186823, 1.232006, 1980.800000, 0.830818
1731.962563, 708.063627, 1.231900, 1980.700000, 0.830782
1731.758510, 707.940442, 1.231798, 1980.600000, 0.830746
1731.554538, 707.817268, 1.231696, 1980.500000, 0.830710
1731.349787, 707.694104, 1.231591, 1980.400000, 0.830675
1731.144778, 707.570950, 1.231488, 1980.300000, 0.830639
1730.941127, 707.447806, 1.231385, 1980.200000, 0.830604
1730.736085, 707.324673, 1.231281, 1980.100000, 0.830568
1730.531369, 707.201550, 1.231178, 1980.000000, 0.830532
1730.327515, 707.078437, 1.231075, 1979.900000, 0.830497
1730.123521, 706.955335, 1.230973, 1979.800000, 0.830461
1729.917788, 706.832243, 1.230868, 1979.700000, 0.830425
1729.713474, 706.709161, 1.230765, 1979.600000, 0.830389
1729.509334, 706.586090, 1.230662, 1979.500000, 0.830354
1729.305742, 706.463029, 1.230560, 1979.400000, 0.830318
1729.101630, 706.339978, 1.230457, 1979.300000, 0.830283
1728.895687, 706.216937, 1.230351, 1979.200000, 0.830247
1728.691609, 706.093907, 1.230248, 1979.100000, 0.830211
1728.486985, 705.970888, 1.230145, 1979.000000, 0.830175
1728.282462, 705.847878, 1.230041, 1978.900000, 0.830140
1728.078618, 705.724879, 1.229939, 1978.800000, 0.830104
1727.874939, 705.601890, 1.229837, 1978.700000, 0.830068
1727.668803, 705.478912, 1.229731, 1978.600000, 0.830032
1727.465346, 705.355944, 1.229629, 1978.500000, 0.829997
1727.261308, 705.232986, 1.229526, 1978.400000, 0.829961
1727.057940, 705.110039, 1.229424, 1978.300000, 0.829925
1726.852370, 704.987102, 1.229319, 1978.200000, 0.829889
1726.648969, 704.864175, 1.229217, 1978.100000, 0.829854
1726.443677, 704.741258, 1.229112, 1978.000000, 0.829818
1726.240054, 704.618352, 1.229010, 1977.900000, 0.829782
1726.034796, 704.495457, 1.228905, 1977.800000, 0.829746
1725.831147, 704.372571, 1.228803, 1977.700000, 0.829711
1725.627876, 704.249696, 1.228701, 1977.600000, 0.829675
1725.422660, 704.126831, 1.228596, 1977.500000, 0.829639
1725.218241, 704.003977, 1.228492, 1977.400000, 0.829603
1725.013871, 703.881133, 1.228389, 1977.300000, 0.829567
1724.810353, 703.758299, 1.228287, 1977.200000, 0.829531
1724.605950, 703.635475, 1.228183, 1977.100000, 0.829495
1724.401085, 703.512662, 1.228079, 1977.000000, 0.829460
1724.197672, 703.389859, 1.227977, 1976.900000, 0.829424
1723.992501, 703.267067, 1.227872, 1976.800000, 0.829388
1723.790060, 703.144285, 1.227771, 1976.700000, 0.829352
1723.585012, 703.021513, 1.227667, 1976.600000, 0.829316
1723.380693, 702.898751, 1.227563, 1976.500000, 0.829281
1723.177297, 702.776000, 1.227461, 1976.400000, 0.829245
1722.972197, 702.653259, 1.227356, 1976.300000, 0.829208
1722.769079, 702.530529, 1.227255, 1976.200000, 0.829173
1722.564351, 702.407808, 1.227150, 1976.100000, 0.829137
1722.359860, 702.285098, 1.227047, 1976.000000, 0.829101
1722.155917, 702.162399, 1.226943, 1975.900000, 0.829065
1721.952797, 702.039710, 1.226842, 1975.800000, 0.829029
1721.747880, 701.917031, 1.226737, 1975.700000, 0.828993
1721.543700, 701.794362, 1.226634, 1975.600000, 0.828957
1721.338998, 701.671704, 1.226529, 1975.500000, 0.828921
1721.136003, 701.549056, 1.226428, 1975.400000, 0.828885
1720.932366, 701.426419, 1.226325, 1975.300000, 0.828849
