# energy density [MeV fm-3], pressure [MeV fm-3], baryon density [1/fm-3], chemical potential [MeV], strangeness fraction [admin]
2396.588990, 950.103171, 1.681840, 1989.900000, 0.875121
2396.307644, 949.934994, 1.681698, 1989.800000, 0.875090
2396.026752, 949.766831, 1.681557, 1989.700000, 0.875060
2395.746440, 949.598683, 1.681416, 1989.600000, 0.875030
2395.464915, 949.430548, 1.681274, 1989.500000, 0.875000
2395.186142, 949.262428, 1.681135, 1989.400000, 0.874971
2394.904320, 949.094321, 1.680993, 1989.300000, 0.874940
2394.623521, 948.926229, 1.680851, 1989.200000, 0.874910
2394.342237, 948.758151, 1.680710, 1989.100000, 0.874880
2394.063303, 948.590087, 1.680571, 1989.000000, 0.874850
2393.781555, 948.422037, 1.680428, 1988.900000, 0.874820
2393.500495, 948.254002, 1.680286, 1988.800000, 0.874790
2393.221446, 948.085980, 1.680147, 1988.700000, 0.874760
2392.940421, 947.917972, 1.680005, 1988.600000, 0.874730
2392.658685, 947.749979, 1.679863, 1988.500000, 0.874699
2392.378859, 947.582000, 1.679723, 1988.400000, 0.874669
2392.097656, 947.414034, 1.679581, 1988.300000, 0.874639
2391.817865, 947.246083, 1.679441, 1988.200000, 0.874609
2391.539532, 947.078146, 1.679302, 1988.100000, 0.874579
2391.256733, 946.910223, 1.679158, 1988.000000, 0.874549
2390.976604, 946.742315, 1.679017, 1987.900000, 0.874519
2390.696824, 946.574420, 1.678877, 1987.800000, 0.874488
2390.414399, 946.406539, 1.678733, 1987.700000, 0.874458
2390.135158, 946.238673, 1.678594, 1987.600000, 0.874428
2389.855280, 946.070820, 1.678453, 1987.500000, 0.874398
2389.575573, 945.902982, 1.678313, 1987.400000, 0.874368
2389.292992, 945.735158, 1.678170, 1987.300000, 0.874337
2389.014819, 945.567348, 1.678031, 1987.200000, 0.874308
2388.732441, 945.399552, 1.677887, 1987.100000, 0.874277
2388.453484, 945.231770, 1.677748, 1987.000000, 0.874247
2388.173806, 945.064002, 1.677608, 1986.900000, 0.874217
2387.891481, 944.896249, 1.677464, 1986.800000, 0.874186
2387.613018, 944.728509, 1.677325, 1986.700000, 0.874157
2387.332393, 944.560784, 1.677184, 1986.600000, 0.874126
2387.051954, 944.393073, 1.677043, 1986.500000, 0.874096
2386.771379, 944.225375, 1.676901, 1986.400000, 0.874066
2386.490812, 944.057692, 1.676760, 1986.300000, 0.874036
2386.210425, 943.890023, 1.676618, 1986.200000, 0.874005
2385.930510, 943.722369, 1.676478, 1986.100000, 0.873975
2385.650492, 943.554728, 1.676337, 1986.000000, 0.873945
2385.371098, 943.387101, 1.676197, 1985.900000, 0.873915
2385.090235, 943.219489, 1.676055, 1985.800000, 0.873884
2384.810938, 943.051890, 1.675915, 1985.700000, 0.873854
2384.530282, 942.884306, 1.675773, 1985.600000, 0.873824
2384.250788, 942.716736, 1.675633, 1985.500000, 0.873794
2383.969487, 942.549180, 1.675491, 1985.400000, 0.873763
2383.688885, 942.381638, 1.675349, 1985.300000, 0.873733
2383.409947, 942.214110, 1.675209, 1985.200000, 0.873703
2383.129383, 942.046596, 1.675067, 1985.100000, 0.873672
2382.849087, 941.879096, 1.674926, 1985.000000, 0.873642
2382.568557, 941.711611, 1.674784, 1984.900000, 0.873612
2382.289131, 941.544140, 1.674644, 1984.800000, 0.873581
2382.008138, 941.376682, 1.674502, 1984.700000, 0.873551
2381.728416, 941.209239, 1.674361, 1984.600000, 0.873521
2381.449054, 941.041810, 1.674221, 1984.500000, 0.873490
2381.168873, 940.874395, 1.674080, 1984.400000, 0.873460
2380.888448, 940.706994, 1.673938, 1984.300000, 0.873430
2380.608812, 940.539607, 1.673797, 1984.200000, 0.873399
2380.328681, 940.372235, 1.673656, 1984.100000, 0.873369
2380.049186, 940.204876, 1.673515, 1984.000000, 0.873339
2379.767094, 940.037532, 1.673372, 1983.900000, 0.873308
2379.490359, 939.870201, 1.673235, 1983.800000, 0.873278
2379.208088, 939.702885, 1.673090, 1983.700000, 0.873248
2378.929211, 939.535583, 1.672951, 1983.600000, 0.873217
2378.650306, 939.368295, 1.672811, 1983.500000, 0.873187
2378.367656, 939.201021, 1.672666, 1983.400000, 0.873156
2378.089766, 939.033762, 1.672528, 1983.300000, 0.873126
2377.808917, 938.866516, 1.672385, 1983.200000, 0.873095
2377.530417, 938.699284, 1.672246, 1983.100000, 0.873065
2377.248595, 938.532067, 1.672102, 1983.000000, 0.873035
2376.970955, 938.364864, 1.671964, 1982.900000, 0.873005
2376.689350, 938.197674, 1.671820, 1982.800000, 0.872974
2376.410076, 938.030499, 1.671680, 1982.700000, 0.872943
2376.131600, 937.863338, 1.671541, 1982.600000, 0.872913
2375.850047, 937.696192, 1.671397, 1982.500000, 0.872883
2375.571110, 937.529059, 1.671257, 1982.400000, 0.872852
2375.291425, 937.361940, 1.671116, 1982.300000, 0.872822
2375.010347, 937.194836, 1.670974, 1982.200000, 0.872791
2374.731463, 937.027745, 1.670834, 1982.100000, 0.872761
2374.453095, 936.860669, 1.670694, 1982.000000, 0.872730
2374.171094, 936.693607, 1.670550, 1981.900000, 0.872700
2373.892761, 936.526559, 1.670411, 1981.800000, 0.872669
2373.612274, 936.359525, 1.670269, 1981.700000, 0.872638
2373.333979, 936.192505, 1.670129, 1981.600000, 0.872608
2373.053045, 936.025499, 1.669986, 1981.500000, 0.872578
2372.773290, 935.858508, 1.669845, 1981.400000, 0.872547
2372.493991, 935.691530, 1.669704, 1981.300000, 0.872517
2372.214271, 935.524567, 1.669563, 1981.200000, 0.872486
2371.935176, 935.357617, 1.669423, 1981.100000, 0.872456
2371.655431, 935.190682, 1.669282, 1981.000000, 0.872425
2371.376764, 935.023761, 1.669142, 1980.900000, 0.872395
2371.096226, 934.856854, 1.668999, 1980.800000, 0.872364
2370.815876, 934.689961, 1.668856, 1980.700000, 0.872334
2370.537361, 934.523083, 1.668718, 1980.600000, 0.872303
2370.258374, 934.356218, 1.668577, 1980.500000, 0.872273
2369.978676, 934.189368, 1.668436, 1980.400000, 0.872242
2369.698228, 934.022531, 1.668293, 1980.300000, 0.872211
2369.420124, 933.855709, 1.668154, 1980.200000, 0.872181
2369.139150, 933.688901, 1.668011, 1980.100000, 0.872150
2368.859756, 933.522107, 1.667869, 1980.000000, 0.872120
2368.580144, 933.355327, 1.667728, 1979.900000, 0.872089
2368.301945, 933.188561, 1.667589, 1979.800000, 0.872058
2368.022043, 933.021810, 1.667447, 1979.700000, 0.872028
2367.742656, 932.855072, 1.667306, 1979.600000, 0.871997
2367.462127, 932.688349, 1.667164, 1979.500000, 0.871966
2367.183273, 932.521639, 1.667023, 1979.400000, 0.871936
2366.902945, 932.354944, 1.666880, 1979.300000, 0.871905
2366.624793, 932.188263, 1.666741, 1979.200000, 0.871875
2366.344438, 932.021596, 1.666599, 1979.100000, 0.871844
2366.064841, 931.854943, 1.666457, 1979.000000, 0.871813
2365.786740, 931.688305, 1.666318, 1978.900000, 0.871783
2365.506437, 931.521680, 1.666175, 1978.800000, 0.871752
2365.226656, 931.355069, 1.666033, 1978.700000, 0.871721
2364.948113, 931.188473, 1.665894, 1978.600000, 0.871690
2364.668864, 931.021891, 1.665752, 1978.500000, 0.871660
2364.389643, 930.855323, 1.665611, 1978.400000, 0.871629
2364.109433, 930.688769, 1.665469, 1978.300000, 0.871598
2363.831894, 930.522229, 1.665330, 1978.200000, 0.871568
