# energy density [MeV fm-3], pressure [MeV fm-3], baryon density [1/fm-3], chemical potential [MeV]
18.599242, 0.004290, 0.019791, 940.001000
20.351818, 0.006365, 0.021655, 940.101000
21.903964, 0.008618, 0.023306, 940.201000
23.250369, 0.011023, 0.024738, 940.301000
24.457716, 0.013563, 0.026022, 940.401000
25.564144, 0.016225, 0.027199, 940.501000
26.593103, 0.019001, 0.028293, 940.601000
27.559535, 0.021882, 0.029320, 940.701000
28.474479, 0.024863, 0.030293, 940.801000
29.369619, 0.027939, 0.031244, 940.901000
30.179771, 0.031106, 0.032105, 941.001000
30.980920, 0.034359, 0.032956, 941.101000
31.753314, 0.037696, 0.033777, 941.201000
32.511221, 0.041114, 0.034582, 941.301000
33.231900, 0.044609, 0.035347, 941.401000
33.926840, 0.048181, 0.036086, 941.501000
34.617581, 0.051826, 0.036819, 941.601000
35.282629, 0.055543, 0.037525, 941.701000
35.934477, 0.059329, 0.038218, 941.801000
36.567368, 0.063184, 0.038889, 941.901000
37.191592, 0.067106, 0.039552, 942.001000
37.797682, 0.071093, 0.040195, 942.101000
38.396354, 0.075145, 0.040831, 942.201000
38.982700, 0.079259, 0.041453, 942.301000
39.558257, 0.083434, 0.042064, 942.401000
40.123094, 0.087671, 0.042663, 942.501000
40.680362, 0.091967, 0.043255, 942.601000
41.228838, 0.096321, 0.043837, 942.701000
41.769122, 0.100733, 0.044410, 942.801000
42.301094, 0.105203, 0.044974, 942.901000
42.824118, 0.109728, 0.045529, 943.001000
43.339976, 0.114308, 0.046075, 943.101000
43.851069, 0.118943, 0.046617, 943.201000
44.354112, 0.123631, 0.047151, 943.301000
44.852432, 0.128373, 0.047679, 943.401000
45.343696, 0.133167, 0.048200, 943.501000
45.829890, 0.138012, 0.048715, 943.601000
46.308806, 0.142909, 0.049222, 943.701000
46.781874, 0.147857, 0.049724, 943.801000
47.252355, 0.152854, 0.050222, 943.901000
47.716956, 0.157901, 0.050714, 944.001000
48.177406, 0.162997, 0.051202, 944.101000
48.631891, 0.168142, 0.051683, 944.201000
49.084488, 0.173334, 0.052163, 944.301000
49.531311, 0.178574, 0.052636, 944.401000
49.972067, 0.183862, 0.053103, 944.501000
