# mass density [g cm-3], pressure [erg cm-3], baryon density [1/fm-3]
# energy density [MeV fm-3], pressure [MeV fm-3], baryon density [1/fm-3], chemical potential [MeV], strangeness fraction [admin]
3.157332e+15, 1.172844e+36, 1e+39
3.156964e+15, 1.172644e+36, 1e+39
3.156596e+15, 1.172443e+36, 1e+39
3.156228e+15, 1.172243e+36, 1e+39
3.155862e+15, 1.172042e+36, 1e+39
3.155492e+15, 1.171842e+36, 1e+39
3.155127e+15, 1.171641e+36, 1e+39
3.154757e+15, 1.171441e+36, 1e+39
3.154390e+15, 1.171240e+36, 1e+39
3.154022e+15, 1.171040e+36, 1e+39
3.153653e+15, 1.170840e+36, 1e+39
3.153287e+15, 1.170639e+36, 1e+39
3.152920e+15, 1.170439e+36, 1e+39
3.152551e+15, 1.170238e+36, 1e+39
3.152184e+15, 1.170038e+36, 1e+39
3.151816e+15, 1.169838e+36, 1e+39
3.151448e+15, 1.169637e+36, 1e+39
3.151081e+15, 1.169437e+36, 1e+39
3.150715e+15, 1.169237e+36, 1e+39
3.150345e+15, 1.169037e+36, 1e+39
3.149979e+15, 1.168836e+36, 1e+39
3.149612e+15, 1.168636e+36, 1e+39
3.149245e+15, 1.168436e+36, 1e+39
3.148877e+15, 1.168236e+36, 1e+39
3.148509e+15, 1.168036e+36, 1e+39
3.148143e+15, 1.167835e+36, 1e+39
3.147776e+15, 1.167635e+36, 1e+39
3.147409e+15, 1.167435e+36, 1e+39
3.147039e+15, 1.167235e+36, 1e+39
3.146674e+15, 1.167035e+36, 1e+39
3.146305e+15, 1.166835e+36, 1e+39
3.145941e+15, 1.166635e+36, 1e+39
3.145569e+15, 1.166435e+36, 1e+39
3.145204e+15, 1.166235e+36, 1e+39
3.144837e+15, 1.166035e+36, 1e+39
3.144468e+15, 1.165835e+36, 1e+39
3.144102e+15, 1.165635e+36, 1e+39
3.143736e+15, 1.165435e+36, 1e+39
3.143369e+15, 1.165235e+36, 1e+39
3.143000e+15, 1.165035e+36, 1e+39
3.142634e+15, 1.164835e+36, 1e+39
3.142267e+15, 1.164635e+36, 1e+39
3.141899e+15, 1.164435e+36, 1e+39
3.141532e+15, 1.164235e+36, 1e+39
3.141165e+15, 1.164036e+36, 1e+39
3.140801e+15, 1.163836e+36, 1e+39
3.140430e+15, 1.163636e+36, 1e+39
3.140066e+15, 1.163436e+36, 1e+39
3.139700e+15, 1.163236e+36, 1e+39
3.139331e+15, 1.163037e+36, 1e+39
3.138964e+15, 1.162837e+36, 1e+39
3.138599e+15, 1.162637e+36, 1e+39
3.138229e+15, 1.162437e+36, 1e+39
3.137865e+15, 1.162238e+36, 1e+39
3.137496e+15, 1.162038e+36, 1e+39
3.137128e+15, 1.161838e+36, 1e+39
3.136764e+15, 1.161639e+36, 1e+39
3.136396e+15, 1.161439e+36, 1e+39
3.136029e+15, 1.161239e+36, 1e+39
3.135662e+15, 1.161040e+36, 1e+39
3.135296e+15, 1.160840e+36, 1e+39
3.134929e+15, 1.160641e+36, 1e+39
3.134563e+15, 1.160441e+36, 1e+39
3.134195e+15, 1.160242e+36, 1e+39
3.133829e+15, 1.160042e+36, 1e+39
3.133463e+15, 1.159843e+36, 1e+39
3.133094e+15, 1.159643e+36, 1e+39
3.132729e+15, 1.159444e+36, 1e+39
3.132362e+15, 1.159244e+36, 1e+39
3.131995e+15, 1.159045e+36, 1e+39
3.131628e+15, 1.158845e+36, 1e+39
3.131262e+15, 1.158646e+36, 1e+39
3.130896e+15, 1.158447e+36, 1e+39
3.130529e+15, 1.158247e+36, 1e+39
3.130165e+15, 1.158048e+36, 1e+39
3.129796e+15, 1.157849e+36, 1e+39
3.129430e+15, 1.157649e+36, 1e+39
3.129063e+15, 1.157450e+36, 1e+39
3.128696e+15, 1.157251e+36, 1e+39
3.128331e+15, 1.157051e+36, 1e+39
3.127965e+15, 1.156852e+36, 1e+39
3.127597e+15, 1.156653e+36, 1e+39
3.127230e+15, 1.156454e+36, 1e+39
3.126866e+15, 1.156255e+36, 1e+39
3.126499e+15, 1.156055e+36, 1e+39
3.126130e+15, 1.155856e+36, 1e+39
3.125767e+15, 1.155657e+36, 1e+39
3.125400e+15, 1.155458e+36, 1e+39
3.125034e+15, 1.155259e+36, 1e+39
3.124665e+15, 1.155060e+36, 1e+39
3.124302e+15, 1.154861e+36, 1e+39
3.123933e+15, 1.154662e+36, 1e+39
3.123567e+15, 1.154462e+36, 1e+39
3.123203e+15, 1.154263e+36, 1e+39
3.122835e+15, 1.154064e+36, 1e+39
3.122469e+15, 1.153865e+36, 1e+39
3.122105e+15, 1.153666e+36, 1e+39
3.121736e+15, 1.153467e+36, 1e+39
3.121372e+15, 1.153268e+36, 1e+39
3.121005e+15, 1.153070e+36, 1e+39
3.120637e+15, 1.152871e+36, 1e+39
3.120274e+15, 1.152672e+36, 1e+39
3.119906e+15, 1.152473e+36, 1e+39
