# mass density [g cm-3], pressure [erg cm-3], baryon density [1/fm-3]
# energy density [MeV fm-3], pressure [MeV fm-3], baryon density [1/fm-3], chemical potential [MeV], strangeness fraction [admin]
3.595808e+15, 1.304103e+36, 1e+39
3.595385e+15, 1.303875e+36, 1e+39
3.594963e+15, 1.303646e+36, 1e+39
3.594541e+15, 1.303418e+36, 1e+39
3.594117e+15, 1.303190e+36, 1e+39
3.593695e+15, 1.302961e+36, 1e+39
3.593275e+15, 1.302733e+36, 1e+39
3.592852e+15, 1.302505e+36, 1e+39
3.592429e+15, 1.302277e+36, 1e+39
3.592008e+15, 1.302048e+36, 1e+39
3.591585e+15, 1.301820e+36, 1e+39
3.591164e+15, 1.301592e+36, 1e+39
3.590739e+15, 1.301364e+36, 1e+39
3.590319e+15, 1.301136e+36, 1e+39
3.589896e+15, 1.300908e+36, 1e+39
3.589472e+15, 1.300679e+36, 1e+39
3.589053e+15, 1.300451e+36, 1e+39
3.588629e+15, 1.300223e+36, 1e+39
3.588206e+15, 1.299995e+36, 1e+39
3.587786e+15, 1.299767e+36, 1e+39
3.587363e+15, 1.299539e+36, 1e+39
3.586943e+15, 1.299311e+36, 1e+39
3.586519e+15, 1.299083e+36, 1e+39
3.586100e+15, 1.298855e+36, 1e+39
3.585674e+15, 1.298627e+36, 1e+39
3.585255e+15, 1.298399e+36, 1e+39
3.584830e+15, 1.298171e+36, 1e+39
3.584409e+15, 1.297944e+36, 1e+39
3.583988e+15, 1.297716e+36, 1e+39
3.583566e+15, 1.297488e+36, 1e+39
3.583145e+15, 1.297260e+36, 1e+39
3.582720e+15, 1.297032e+36, 1e+39
3.582301e+15, 1.296804e+36, 1e+39
3.581879e+15, 1.296577e+36, 1e+39
3.581458e+15, 1.296349e+36, 1e+39
3.581034e+15, 1.296121e+36, 1e+39
3.580613e+15, 1.295893e+36, 1e+39
3.580194e+15, 1.295666e+36, 1e+39
3.579772e+15, 1.295438e+36, 1e+39
3.579349e+15, 1.295210e+36, 1e+39
3.578927e+15, 1.294983e+36, 1e+39
3.578503e+15, 1.294755e+36, 1e+39
3.578085e+15, 1.294528e+36, 1e+39
3.577662e+15, 1.294300e+36, 1e+39
3.577241e+15, 1.294072e+36, 1e+39
3.576820e+15, 1.293845e+36, 1e+39
3.576397e+15, 1.293617e+36, 1e+39
3.575974e+15, 1.293390e+36, 1e+39
3.575556e+15, 1.293162e+36, 1e+39
3.575130e+15, 1.292935e+36, 1e+39
3.574714e+15, 1.292708e+36, 1e+39
3.574291e+15, 1.292480e+36, 1e+39
3.573869e+15, 1.292253e+36, 1e+39
3.573448e+15, 1.292025e+36, 1e+39
3.573027e+15, 1.291798e+36, 1e+39
3.572605e+15, 1.291571e+36, 1e+39
3.572183e+15, 1.291343e+36, 1e+39
3.571760e+15, 1.291116e+36, 1e+39
3.571339e+15, 1.290889e+36, 1e+39
3.570918e+15, 1.290661e+36, 1e+39
3.570498e+15, 1.290434e+36, 1e+39
3.570076e+15, 1.290207e+36, 1e+39
3.569655e+15, 1.289980e+36, 1e+39
3.569234e+15, 1.289753e+36, 1e+39
3.568814e+15, 1.289525e+36, 1e+39
3.568390e+15, 1.289298e+36, 1e+39
3.567971e+15, 1.289071e+36, 1e+39
3.567551e+15, 1.288844e+36, 1e+39
3.567128e+15, 1.288617e+36, 1e+39
3.566706e+15, 1.288390e+36, 1e+39
3.566286e+15, 1.288163e+36, 1e+39
3.565864e+15, 1.287936e+36, 1e+39
3.565443e+15, 1.287709e+36, 1e+39
3.565022e+15, 1.287482e+36, 1e+39
3.564600e+15, 1.287255e+36, 1e+39
3.564184e+15, 1.287028e+36, 1e+39
3.563757e+15, 1.286801e+36, 1e+39
3.563338e+15, 1.286574e+36, 1e+39
3.562915e+15, 1.286347e+36, 1e+39
3.562497e+15, 1.286120e+36, 1e+39
3.562077e+15, 1.285893e+36, 1e+39
3.561655e+15, 1.285666e+36, 1e+39
3.561234e+15, 1.285439e+36, 1e+39
3.560814e+15, 1.285213e+36, 1e+39
3.560393e+15, 1.284986e+36, 1e+39
3.559971e+15, 1.284759e+36, 1e+39
3.559550e+15, 1.284532e+36, 1e+39
3.559128e+15, 1.284306e+36, 1e+39
3.558711e+15, 1.284079e+36, 1e+39
3.558289e+15, 1.283852e+36, 1e+39
3.557870e+15, 1.283625e+36, 1e+39
3.557446e+15, 1.283399e+36, 1e+39
3.557029e+15, 1.283172e+36, 1e+39
3.556605e+15, 1.282946e+36, 1e+39
3.556186e+15, 1.282719e+36, 1e+39
3.555767e+15, 1.282492e+36, 1e+39
3.555345e+15, 1.282266e+36, 1e+39
3.554921e+15, 1.282039e+36, 1e+39
3.554503e+15, 1.281813e+36, 1e+39
3.554083e+15, 1.281586e+36, 1e+39
3.553660e+15, 1.281360e+36, 1e+39
3.553240e+15, 1.281133e+36, 1e+39
3.552821e+15, 1.280907e+36, 1e+39
