#energia,  pressao,  rho, mu_B
1231.5799880096, 323.4679277227, 1.0457622552, 1486.9994666446
1229.3261361178, 322.4226006314, 1.0442447669, 1486.0009702439
1227.0745459935, 321.3787844554, 1.0427329598, 1484.995094749
1224.8179920097, 320.3364806997, 1.0412129087, 1483.9947332149
1222.5550754023, 319.29569097, 1.039682158, 1483.0020449259
1220.2950387765, 318.2564170132, 1.0381586587, 1482.0003116996
1218.0285295109, 317.2186607603, 1.0366251967, 1481.005087618
1215.7640154171, 316.1824244193, 1.0350990032, 1479.999917928
1213.4946983228, 315.1477106558, 1.0335676078, 1478.9960495987
1211.2104335178, 314.1145229566, 1.0320164469, 1478.0045038317
1208.9471413778, 313.0828631129, 1.0304861743, 1477.0018680532
1206.6999312896, 312.0527179433, 1.0289660768, 1475.9987558886
1204.4477179809, 311.024086207, 1.0274367456, 1475.0025349069
1201.9903632998, 309.9970597375, 1.0257704284, 1474.0017661008
1199.5760275211, 308.9717701911, 1.0241312476, 1473.0024117543
1197.1985265133, 307.9481459976, 1.0225168377, 1472.0018459031
1194.8368005374, 306.9261606755, 1.0209116029, 1471.0019525357
1192.4877919992, 305.905800775, 1.0193188802, 1469.9949366676
1190.1360259754, 304.8870583264, 1.0177141429, 1469.0009907895
1187.7921650956, 303.8699283818, 1.016120313, 1467.997514105
1185.4459589908, 302.8544078805, 1.0145197209, 1466.9999372867
1183.0994996853, 301.8404951251, 1.012918863, 1466.0009296871
1180.748656354, 300.8281894921, 1.011310052, 1465.0075344948
1178.4012556088, 299.8174912509, 1.0097121244, 1464.0001948139
1176.0469929173, 298.8084016097, 1.0081047078, 1462.9982214631
1173.6863862635, 297.8009226879, 1.0064919436, 1461.9961125951
1171.3146925256, 296.7950577099, 1.0048677817, 1460.9979312015
1168.9337183617, 295.7908113526, 1.0032384899, 1459.9963462567
1166.5351712081, 294.788190353, 1.0015951462, 1458.9960495136
1164.1116900268, 293.7872048262, 0.9999306955, 1457.999940809
1161.647714846, 292.7878714443, 0.9982426943, 1456.9959736602
1159.0760152631, 291.7902244121, 0.9964703103, 1456.0054872694
1156.6045864452, 290.7943146758, 0.994773705, 1455.0031768924
1154.3892652187, 289.7999641288, 0.9932591992, 1453.9902882094
1152.1713679513, 288.8071423092, 0.9917271636, 1452.9989327453
1149.9535612617, 287.8158497535, 0.9901998852, 1451.9991695924
1147.736089025, 286.8260869934, 0.9886731087, 1450.9974666514
1145.5157919647, 285.8378545776, 0.9871397748, 1450.000985771
1143.2970350745, 284.851153068, 0.9856097152, 1448.9997066632
1141.0784688427, 283.8659830366, 0.9840794035, 1447.9974347097
1138.8577943787, 282.8823450644, 0.982544641, 1446.9980091772
1136.6365900114, 281.9002397428, 0.981008856, 1445.9979857013
1134.414627572, 280.9196676715, 0.9794713428, 1444.9981673123
1132.1914510636, 279.9406294589, 0.9779312987, 1443.9992690059
1129.9684830323, 278.9631257223, 0.9763915344, 1442.9985913193
1127.7432923351, 277.9871570875, 0.9748476568, 1442.0001315807
1125.5177859815, 277.0127241905, 0.9733031298, 1441.0007193872
1123.2920024069, 276.0398276774, 0.9717585195, 1439.9995492177
1121.064583575, 275.0684682062, 0.9702108637, 1438.9996072474
1118.8361593027, 274.0986464483, 0.9686614997, 1437.9995552144
1116.6072139878, 273.1303630905, 0.9671115995, 1436.9981477355
1114.3737982139, 272.163618837, 0.9655537761, 1436.0022729306
1112.141873769, 271.1984144144, 0.9639992849, 1435.0013634207
1109.908337064, 270.2347505741, 0.9624427777, 1434.0001500296
1107.6727777464, 269.2726280984, 0.9608832549, 1432.99968943
1105.4342376841, 268.3120478063, 0.9593189561, 1432.0016056214
1103.1961973721, 267.3530105616, 0.9577572142, 1430.998574147
1100.9547841244, 266.3955172837, 0.9561904566, 1429.9978545419
1098.7040283953, 265.4395689669, 0.9546045098, 1429.0144068446
1096.4598339832, 264.485166659, 0.9530389481, 1428.0056480653
1094.2148764252, 263.5323115599, 0.9514730829, 1426.9948486589
1091.8584267996, 262.581022773, 0.9498153385, 1426.0029235308
1089.3822272784, 261.6315670168, 0.9480801008, 1424.9996315385
1086.9627052488, 260.6838997642, 0.9463810541, 1423.9999831087
1084.5516015154, 259.7379709364, 0.9446873312, 1422.9994708231
1082.127750409, 258.7937651106, 0.9429811065, 1422.0025261485
1079.6758690886, 257.8512830822, 0.941258296, 1420.9990582792
1077.1409789644, 256.9105456429, 0.9394757662, 1419.9956747589
1074.5227508052, 255.9716299677, 0.9376288876, 1418.9989219795
1072.3623012642, 255.0343605186, 0.9361046597, 1418.0002716968
1070.2012625232, 254.0986344795, 0.9345788612, 1417.0017663052
1068.0391495693, 253.1644516159, 0.9330527261, 1416.0010084833
1065.8763682116, 252.2318118985, 0.9315260728, 1414.9986979012
1063.7099891936, 251.3007154677, 0.9299936344, 1413.9996835328
1061.541900951, 250.3711626111, 0.9284591434, 1413.0003166235
1059.3721018248, 249.443153743, 0.9269228039, 1412.0002767242
1057.1993490932, 248.5166893911, 0.9253825737, 1411.0013259815
1055.0259251538, 247.5917701862, 0.9238426906, 1409.9994605397
1052.8484222135, 246.6683968543, 0.9222968666, 1409.0005790592
1050.6694263855, 245.7465702126, 0.9207504597, 1407.9992932752
1048.4866261229, 244.8262911662, 0.9191991233, 1406.9997288327
1046.3013405499, 243.9075607085, 0.917645413, 1405.9994012305
1044.112597158, 242.9903799222, 0.9160876091, 1404.9998758915
1041.9212292625, 242.0747499839, 0.9145279498, 1403.998619686
1039.7248586817, 241.1606721697, 0.9129618484, 1403.000063082
1037.5261464347, 240.2481478651, 0.9113948697, 1401.9985592597
1035.3208019058, 239.3371785763, 0.9098187387, 1401.0021186176
1033.1138339445, 238.4277659473, 0.9082442117, 1399.9996735017
1030.9009930005, 237.5199117813, 0.9066627946, 1398.9996195682
1028.6828880662, 236.6136180682, 0.9050765826, 1397.9993852433
1026.457839812, 235.7088870224, 0.9034832309, 1397.0007230664
1024.2266081651, 234.8057211331, 0.9018844908, 1396.0017521145
1021.98901334, 233.9041232322, 0.9002808939, 1395.0014324542
1019.7434130668, 233.0040965915, 0.8986711473, 1393.99992244
1017.4859845139, 232.1056450621, 0.8970491378, 1393.0024308075
1015.2189365894, 231.2087732843, 0.8954218854, 1392.0004974881
1012.9355282767, 230.3134870278, 0.8937786676, 1391.0032320531
1010.6354913476, 229.4197937676, 0.8921271973, 1389.9982971205
1008.3051845547, 228.5277037931, 0.8904465573, 1389.0029426125
1005.9386138687, 227.6372326743, 0.8887435785, 1387.9997294407
1002.7351103726, 226.7488277766, 0.8864316597, 1387.003639501
1000.4429758612, 225.8625969076, 0.8847818812, 1385.9976099861
998.1851450455, 224.9781049207, 0.8831519419, 1384.997520799
995.9415689026, 224.0953130205, 0.8815307172, 1383.9981502039
993.7051463928, 223.2141992612, 0.8799135319, 1382.9987852107
991.4720409835, 222.3347493838, 0.878297193, 1382.0000792612
989.2417178766, 221.4569534726, 0.8766835762, 1380.9984631233
987.0089787954, 220.580804386, 0.8750645753, 1380.0007648092
984.7760656322, 219.7062969327, 0.8734471835, 1378.9985076454
982.5403623651, 218.8334274204, 0.8718256553, 1377.9977480979
980.2989171642, 217.9621933499, 0.8701968716, 1377.0000211163
978.0549436485, 217.09259331, 0.8685681503, 1375.9974235828
975.8052476374, 216.2246269517, 0.8669350363, 1374.9933094076
973.5380981676, 215.3582950919, 0.865279177, 1374.003240719
971.2664070434, 214.4936000908, 0.8636259197, 1373.0018751412
968.9736183499, 213.6305467575, 0.8619535838, 1372.0044644983
966.6925150721, 212.7691413518, 0.8602931775, 1370.9996630263
964.4537369842, 211.9093570373, 0.8586638942, 1369.9924987525
962.1618367814, 211.0511959115, 0.8569889499, 1368.9943525848
959.8611310753, 210.1946892172, 0.855302386, 1368.0025210985
957.5594204105, 209.33982502, 0.8536187107, 1367.0028910662
955.26414328, 208.4866013423, 0.8519427393, 1365.9964349582
952.9435540655, 207.6350211496, 0.8502409625, 1364.9996017395
950.6031660542, 206.7850912059, 0.8485265176, 1363.9977458757
948.2273296139, 205.9368238744, 0.8467870125, 1362.9922713606
945.7822439334, 205.0902428657, 0.8449882079, 1361.9982811493
943.1168681934, 204.2454139691, 0.8430282061, 1361.0010600644
940.9780949013, 203.4022791525, 0.8414555881, 1360.0009201587
938.8406363677, 202.5606726703, 0.8398879378, 1358.9923818176
936.6730509631, 201.7205981773, 0.8382806949, 1358.0100986696
934.441402342, 200.8823242323, 0.8366436656, 1356.9979349546
932.2340454358, 200.0458505672, 0.8350151236, 1355.9992675741
930.0356043187, 199.2111028355, 0.8333981411, 1354.9906718741
927.8331471597, 198.3780495218, 0.8317687007, 1353.9956429571
925.6299237683, 197.5466723774, 0.8301394097, 1352.997560459
923.4234670192, 196.7169595188, 0.8285071003, 1351.9985841218
921.2122691887, 195.8889028308, 0.8268700449, 1350.9996871877
918.9958748614, 195.06249674, 0.8252288741, 1349.9992627081
916.7710302969, 194.2377375865, 0.8235782153, 1349.0021314197
914.5400670631, 193.4146233069, 0.8219244866, 1348.0005869959
912.2992625318, 192.5931533171, 0.8202624757, 1346.9986115846
910.0446772646, 191.7733285522, 0.8185867337, 1346.0003204367
907.7760942996, 190.9551516891, 0.816900019, 1345.0008818884
905.4894274009, 190.1386276253, 0.8151989125, 1344.0008790613
903.1788683967, 189.323764436, 0.8134796939, 1342.9992672315
900.8308791499, 188.5105753942, 0.8117291986, 1342.0010717328
898.4235255566, 187.6990840435, 0.8099351512, 1340.9994713871
895.8642036748, 186.8893433069, 0.8080305784, 1339.9908071384
893.4562317295, 186.0814279337, 0.8062269976, 1338.9996401204
891.3496175374, 185.2750618829, 0.8046526047, 1337.9993715143
889.234548646, 184.4702102065, 0.8030677801, 1337.0039060875
887.11575917, 183.6668728459, 0.8014807272, 1336.0054654277
884.9916586749, 182.8650499415, 0.7998886265, 1335.0067412372
882.924240374, 182.0647620333, 0.7983522224, 1333.9838890135
880.8325300951, 181.2660471447, 0.7967722613, 1333.0014469509
878.7029441345, 180.4689699454, 0.7951705406, 1332.0059786693
876.5568843038, 179.6738228336, 0.7935659194, 1330.9930294778
874.393889732, 178.8804869289, 0.7919367196, 1329.9981558577
872.2213931301, 178.088904151, 0.7903026215, 1328.9976126399
870.0325285566, 177.29904749, 0.788653202, 1328.0001568975
867.8289356504, 176.5109028694, 0.7869938579, 1326.9987154783
865.601207096, 175.7244641689, 0.7853131381, 1326.0005731819
863.3465712985, 174.9397319605, 0.7836120248, 1325.0004727523
861.0528096778, 174.1567143826, 0.7818794542, 1324.0014409645
858.696505919, 173.3754313858, 0.7800971281, 1323.0044055951
856.204445098, 172.5959305321, 0.7782116705, 1322.0058431555
853.6155543662, 171.8183505305, 0.7762516746, 1321.0070115595
851.5689284962, 171.0424130601, 0.7747050562, 1320.0008614197
849.5149398899, 170.2679923646, 0.7731486948, 1318.9997463223
847.451408468, 169.4950877746, 0.7715838468, 1317.9986859596
845.3784637056, 168.7236995886, 0.770011856, 1316.9955181246
843.2875399987, 167.9538293137, 0.7684201627, 1316.0005663137
841.184285856, 167.1854801895, 0.7668213313, 1314.999628876
839.0574077044, 166.4186583685, 0.7652022062, 1314.0004797091
836.9357433132, 165.6533710001, 0.7635872873, 1312.9986984308
834.8402026367, 164.8895913503, 0.7619886537, 1312.0008928637
832.7295424737, 164.1273160145, 0.7603764301, 1311.0044170252
830.587407712, 163.3665688579, 0.7587443522, 1309.9985174816
828.3670204962, 162.6077200666, 0.7570473309, 1308.9997151852
826.0891399275, 161.8507556005, 0.7553079847, 1307.9960962687
823.6547598397, 161.0956664171, 0.7534489277, 1306.9902816246
821.1533204461, 160.342603459, 0.7515212225, 1306.0122516228
819.2459553772, 159.5911413144, 0.7500672079, 1304.9991871871
817.320211255, 158.8411317247, 0.7485905315, 1303.9990514114
815.3870729543, 158.0925687513, 0.7471064526, 1302.9999116684
813.4412755824, 157.3454478283, 0.745605617, 1302.0110113223
811.5021254198, 156.5997656007, 0.7441245808, 1300.9943711239
809.391008249, 155.8556559067, 0.7425012652, 1299.993292059
807.3356694815, 155.1131563613, 0.7409149785, 1299.0003627018
805.2896771059, 154.3722051179, 0.7393372354, 1298.0029088845
803.2379129529, 153.6327829307, 0.7377549644, 1297.00339821
801.2413764662, 152.8949257885, 0.7362148079, 1296.0025959375
799.19851495, 152.1586739446, 0.7346388142, 1294.9998972215
797.0673250614, 151.4240260599, 0.7329920456, 1293.9995144517
794.8660091959, 150.6910574792, 0.7312890117, 1293.00051212
792.9811854751, 149.9595889239, 0.7298265223, 1292.0067243554
791.0953003962, 149.2295356702, 0.7283696618, 1290.9994545577
789.2926384772, 148.5010117344, 0.7269801218, 1289.9852721514
787.4652268419, 147.7741905376, 0.7255583327, 1288.9927318245
785.6194394503, 147.0489556157, 0.7241223338, 1287.9983829759
783.7639261325, 146.3252549138, 0.7226796555, 1287.0006425614
781.9029953822, 145.6030565072, 0.7212336925, 1285.9993390338
780.0346060218, 144.8823372391, 0.7197788866, 1285.0014921393
778.1625485871, 144.16307881, 0.7183214428, 1284.0012457469
776.2864712435, 143.4452659884, 0.7168598304, 1283.0008018045
774.405723645, 142.728885652, 0.7153928567, 1282.0013516478
772.5227880437, 142.0139262194, 0.7139247119, 1280.9988210119
770.6341543162, 141.3003772898, 0.7124486211, 1280.0004163237
768.7431154581, 140.5882294036, 0.7109708647, 1278.9994498563
766.8477858759, 139.8774738776, 0.7094878168, 1277.9997601596
764.9473390049, 139.1681026948, 0.7079986373, 1277.0016692346
763.0466808506, 138.4601084266, 0.7065108309, 1275.9985408198
761.1379170894, 137.7534842038, 0.7050117848, 1275.0019513653
759.2283021855, 137.0482237111, 0.7035142078, 1273.9991828247
757.3415008611, 136.3443667034, 0.7020309786, 1273.0006150505
755.447731254, 135.6420438672, 0.7005461915, 1271.9928905443
753.6011329941, 134.9411672554, 0.6990837732, 1271.0097621237
751.8261403139, 134.2419926791, 0.6976912722, 1270.000311528
750.0039980233, 133.5444712656, 0.6962554791, 1269.0003824546
748.1614547094, 132.8485099994, 0.6948005683, 1268.0040934884
746.278241935, 132.1540655811, 0.6933141044, 1267.0048133928
744.3243927878, 131.4612079412, 0.6917734026, 1266.0006838844
742.3996795566, 130.7698967128, 0.6902523104, 1265.0005847226
740.4819252292, 130.0800853484, 0.6887355817, 1264.0003417181
738.5652026375, 129.3917459282, 0.6872181641, 1263.0005927677
736.6489368573, 128.7048572656, 0.6857008168, 1261.9990715177
734.7300924726, 128.0194018904, 0.6841789106, 1260.9998365061
732.8091950619, 127.3353647526, 0.6826539186, 1260.0009117777
730.8864730515, 126.6527325305, 0.6811267084, 1259.0009979993
728.9617846005, 125.9714932146, 0.6795973378, 1257.9997452081
727.0329085175, 125.2916358374, 0.6780619666, 1257.0009621342
725.1015234316, 124.6131502801, 0.6765222803, 1256.0039757964
723.2194075327, 123.9360647163, 0.6750229262, 1255.0025183215
721.4308972585, 123.2607189209, 0.6735960004, 1254.0033130518
719.6087687041, 122.5871404203, 0.6721431464, 1253.0008132644
717.753400057, 121.9151875569, 0.6706603427, 1252.002741319
715.7458040443, 121.2449627009, 0.6690573435, 1251.00004492
713.7963813529, 120.5764300403, 0.6674979638, 1250.0005343505
711.8548444158, 119.9094975331, 0.6659440043, 1249.0004214006
709.9146835263, 119.2441178129, 0.6643903213, 1247.9995189637
707.9729992888, 118.5802568665, 0.662833727, 1246.9993943471
706.0289809535, 117.9178876664, 0.6612736977, 1245.999759898
704.0826364, 117.256987573, 0.6597106319, 1244.9998291165
702.1336771907, 116.5975369945, 0.658144302, 1243.9995479791
700.1831240381, 115.9395186081, 0.6565799288, 1242.9905437228
698.2633919706, 115.2829346472, 0.6550230076, 1242.0118334664
696.4024039853, 114.6280932864, 0.6535337239, 1240.9925725903
694.5033270094, 113.9749141839, 0.6520010549, 1239.9952961976
692.5844701144, 113.3233053784, 0.6504500967, 1239.0001625152
690.6593010921, 112.6732187585, 0.6488952181, 1238.0003695574
688.8155462581, 112.0247196095, 0.6474060829, 1236.9983647114
686.9324281184, 111.3778204558, 0.645885028, 1235.9943549557
685.0254140621, 110.7324517785, 0.6443390171, 1234.9987269767
683.1094646878, 110.0885755401, 0.6427864891, 1233.9992417766
681.185205118, 109.4461636105, 0.6412260921, 1232.9993718154
679.2532384125, 108.8051930729, 0.63965766, 1232.0003037887
677.3165426124, 108.1656443377, 0.6380901449, 1230.989372367
675.4274567043, 107.5275317499, 0.6365482155, 1230.0010736607
673.5762499144, 106.8911611765, 0.6350450605, 1228.9953259237
671.6845283373, 106.2564239219, 0.6335024572, 1227.9998971741
