# energy density [MeV fm-3], pressure [MeV fm-3], baryon density [1/fm-3], chemical potential [MeV]
82.124968, 0.809069, 0.086960, 953.700000
82.415668, 0.817780, 0.087265, 953.800000
82.704436, 0.826522, 0.087567, 953.900000
82.993182, 0.835294, 0.087870, 954.000000
83.281590, 0.844097, 0.088172, 954.100000
83.567830, 0.852929, 0.088472, 954.200000
83.854662, 0.861792, 0.088773, 954.300000
84.138482, 0.870684, 0.089070, 954.400000
84.424824, 0.879607, 0.089370, 954.500000
84.707723, 0.888559, 0.089667, 954.600000
84.989110, 0.897540, 0.089961, 954.700000
85.270404, 0.906551, 0.090256, 954.800000
85.551602, 0.915592, 0.090551, 954.900000
85.830310, 0.924662, 0.090842, 955.000000
86.109787, 0.933761, 0.091135, 955.100000
86.387520, 0.942889, 0.091426, 955.200000
86.664617, 0.952046, 0.091716, 955.300000
86.939763, 0.961232, 0.092004, 955.400000
87.215335, 0.970447, 0.092292, 955.500000
87.489243, 0.979691, 0.092579, 955.600000
87.762398, 0.988964, 0.092865, 955.700000
88.034720, 0.998264, 0.093150, 955.800000
88.307574, 1.007594, 0.093435, 955.900000
88.578273, 1.016952, 0.093719, 956.000000
88.847818, 1.026338, 0.094000, 956.100000
89.117899, 1.035752, 0.094283, 956.200000
89.386642, 1.045195, 0.094564, 956.300000
89.653100, 1.054665, 0.094842, 956.400000
89.919778, 1.064163, 0.095121, 956.500000
90.185646, 1.073690, 0.095399, 956.600000
90.451994, 1.083244, 0.095678, 956.700000
90.716356, 1.092826, 0.095954, 956.800000
90.979723, 1.102435, 0.096229, 956.900000
91.242454, 1.112072, 0.096504, 957.000000
91.506151, 1.121736, 0.096779, 957.100000
91.767069, 1.131428, 0.097052, 957.200000
92.027822, 1.141147, 0.097324, 957.300000
92.288708, 1.150893, 0.097597, 957.400000
92.547931, 1.160667, 0.097868, 957.500000
92.806075, 1.170467, 0.098137, 957.600000
93.063251, 1.180294, 0.098405, 957.700000
93.320551, 1.190149, 0.098674, 957.800000
93.578188, 1.200030, 0.098943, 957.900000
93.833591, 1.209938, 0.099210, 958.000000
94.090042, 1.219872, 0.099478, 958.100000
94.343932, 1.229833, 0.099743, 958.200000
94.597580, 1.239821, 0.100007, 958.300000
94.850342, 1.249835, 0.100271, 958.400000
95.102892, 1.259876, 0.100534, 958.500000
95.353929, 1.269942, 0.100796, 958.600000
95.606628, 1.280036, 0.101060, 958.700000
95.856598, 1.290155, 0.101321, 958.800000
96.107554, 1.300300, 0.101583, 958.900000
96.356313, 1.310471, 0.101842, 959.000000
96.604449, 1.320669, 0.102100, 959.100000
96.852008, 1.330892, 0.102358, 959.200000
97.100209, 1.341141, 0.102617, 959.300000
97.346801, 1.351416, 0.102874, 959.400000
97.591996, 1.361716, 0.103130, 959.500000
97.838257, 1.372042, 0.103387, 959.600000
98.084013, 1.382394, 0.103643, 959.700000
98.327589, 1.392771, 0.103896, 959.800000
98.571186, 1.403174, 0.104150, 959.900000
98.813642, 1.413602, 0.104403, 960.000000
99.057067, 1.424055, 0.104656, 960.100000
99.299222, 1.434533, 0.104909, 960.200000
99.541325, 1.445037, 0.105161, 960.300000
99.781862, 1.455565, 0.105411, 960.400000
100.020969, 1.466119, 0.105660, 960.500000
100.261176, 1.476698, 0.105910, 960.600000
