# epsilon[Mev/fm^3] ,  P[Mev/fm^3] ,   n_B[fm^{-3}] ,  mu [MeV]
0.192642885, 0.0003812936, 0.0002054, 939.7477051354
0.1854061546, 0.0003646912, 0.0001977, 939.660322892
0.178393819, 0.0003485257, 0.0001902, 939.7599615299
0.1715497794, 0.000332922, 0.000183, 939.2497339968
0.1649301345, 0.0003178799, 0.0001759, 939.4429473352
0.1584787857, 0.0003032748, 0.000169, 939.5388195988
0.1522518317, 0.0002892938, 0.0001624, 939.2926445788
0.1238097983, 0.0002262546, 0.0001321, 938.9557370458
0.0995190676, 0.000174138, 0.0001062, 938.7307494314
0.0789869488, 0.0001316334, 0.00008433, 938.2020887513
0.0617085537, 9.74299161521756E-005, 0.00006592, 937.5907713114
0.0473697298, 7.03417780291492E-005, 0.00005063, 936.995290689
0.0356058355, 0.000049389, 0.00003807, 936.5701219394
0.0260971084, 3.34981652779453E-005, 0.00002791, 936.2453072016
0.0234155912, 2.88856919892549E-005, 0.00002507, 935.1606261575
0.0185967141, 2.12460880577838E-005, 0.00001991, 935.105988673
0.014209797, 1.56224907193399E-005, 0.00001522, 934.6530521604
0.0117302351, 0.000012096, 0.00001257, 934.15522009
0.0093179916, 8.894146733943E-006, 0.000009982, 934.3704427737
0.0073994166, 6.54109879099808E-006, 0.00000793, 933.9164789046
0.0056715771, 4.80720829086519E-006, 0.000006081, 933.462306004
0.0045052854, 3.53394096895335E-006, 0.00000483, 933.5029710178
0.0037058791, 2.72254512655855E-006, 0.000003974, 933.2163286263
0.0023370712, 1.47049892667858E-006, 0.000002507, 932.8048363335
0.0014277115, 7.93919624250912E-007, 0.000001532, 932.4448160349
0.0009009449, 4.28167344525256E-007, 9.667E-007, 932.4227286475
0.0005867922, 2.57711802557548E-007, 6.296E-007, 932.41734288
0.0004657874, 1.89055231277988E-007, 5.001E-007, 931.7665237203
0.000293901, 1.01674140558548E-007, 3.156E-007, 931.5674459594
0.0001854062, 5.45382836218905E-008, 1.991E-007, 931.4951928466
0.000147259, 4.1668297260213E-008, 1.581E-007, 931.6933394561
7.37697710483969E-005, 1.62528828738158E-008, 7.926E-008, 930.9364614089
3.69802532890519E-005, 6.27895551883976E-009, 3.973E-008, 930.9471997123
1.85237858556507E-005, 2.39236943376867E-009, 1.99E-008, 930.9637299037
9.28433240190851E-006, 8.9565617987426E-010, 0.00000001, 928.5228058088
4.65226396429168E-006, 3.28240825781096E-010, 0.000000005, 930.5184410235
3.69578138149687E-006, 2.44105318431236E-010, 0.000000004, 924.0063717038
