ERG_TO_MEV              ,6.241506E+005,,,,,,,
CM_TO_FM                ,1.000000E+013,,,,,,,
FM3_TO_CM3              ,1.000000E+039,,,,,,,
,,,,,,,,
LIGHT_SPEED_CGS,2.998000E+010,,,,,,,
LIGHT_SPEED_CGS_2,8.988004E+020,,,,,,,
LIGHT_SPEED_FM,2.998000E+023,fm/s,,,,,,
LIGHT_SPEED_FM_2,8.988004E+046,,,,,,,
,,,,,,,,
,,,,,,,,
# rho[g/cm^3] , P[dyn/cm^2],  n_B[cm^{-3}] , mu [erg],,# epsilon[Mev/fm^3] , P[Mev/fm^3] ,  n_B[fm^{-3}] , mu [MeV]
3.205E+015,1.688E+036,1.3E+039,0.0035143502,,1797.9628609134,1053.5662938173,1.3,2193.4839651774
3.013E+015,1.514E+036,1.25E+039,0.0033776685,,1690.2533853142,944.9640810659,1.25,2108.1739731041
2.829E+015,1.352E+036,1.2E+039,0.0032455886,,1587.0318045317,843.8516760906,1.2,2025.7362338519
2.652E+015,1.201E+036,1.15E+039,0.0031170597,,1487.7371317137,749.6049282432,1.15,1945.5148347451
2.482E+015,1.061E+036,1.1E+039,0.002992566,,1392.3693668602,662.2238375238,1.1,1867.8120039855
2.319E+015,9.31E+035,1.05E+039,0.0028717316,,1300.9285099714,581.0842532843,1.05,1792.3931078625
2.162E+015,8.114E+035,1E+039,0.0027546065,,1212.8535741949,506.435835784,1,1719.2894099789
2.012E+015,7.018E+035,9.5E+038,0.0026423015,,1128.7055463831,438.0289247636,0.95,1649.1941801544
1.868E+015,6.018E+035,9E+038,0.0025341768,,1047.9234396837,375.613859964,0.9,1581.7081107197
1.73E+015,5.113E+035,8.5E+038,0.0024308526,,970.5072540968,319.1282263204,0.85,1517.2182122555
1.598E+015,4.298E+035,8E+038,0.0023326038,,896.4569896223,268.2599485087,0.8,1455.8961726638
1.471E+015,3.57E+035,7.5E+038,0.0022388472,,825.2116594083,222.8217813346,0.75,1397.3779209905
1.349E+015,2.925E+035,7E+038,0.0021499739,,756.7712634547,182.5640645388,0.7,1341.9076114193
1.231E+015,2.36E+035,6.5E+038,0.0020652666,,690.5748149093,147.2995529271,0.65,1289.0374889791
1.119E+015,1.869E+035,6E+038,0.0019877627,,627.7442874765,116.6537561105,0.6,1240.6634059782
1.01E+015,1.449E+035,5.5E+038,0.0019139789,,566.5967205999,90.4394288946,0.55,1194.6111808991
905600000000000,1.095E+035,5E+038,0.0018469073,,508.0296932428,68.3444959556,0.5,1152.7483783967
804600000000000,8.016E+034,4.5E+038,0.0017851884,,451.3700211828,50.0319159434,0.45,1114.2265269471
706800000000000,5.645E+034,4E+038,0.0017293053,,396.5055070495,35.2333040794,0.4,1079.3470278222
612000000000000,3.783E+034,3.5E+038,0.0016797024,,343.3239534724,23.6116190137,0.35,1048.3873499602
519800000000000,2.376E+034,3E+038,0.0016365215,,291.6009657107,14.8298193964,0.3,1021.435950357
429800000000000,1.367E+034,2.5E+038,0.0015998976,,241.1121490236,8.5321393581,0.25,998.5771535267
341700000000000,6.959E+033,2E+038,0.0015703955,,191.6892073554,4.3434643594,0.2,980.1633585741
255000000000000,2.983E+033,1.5E+038,0.0015478473,,143.0516472802,1.861841383,0.15,966.0899244209
169400000000000,9.915E+032,1E+038,0.0015324829,,95.0311727422,0.6188453675,0.1,956.5001810968
128400000000000,5.371E+032,7.596E+037,0.0015263701,,72.030711807,0.335231313,0.07596,952.6848751973
123700000000000,5.046E+032,7.317E+037,0.0015263935,,69.3940736022,0.314946417,0.07317,952.6994672565
105100000000000,3.847E+032,6.22E+037,0.0015248975,,58.9597181535,0.2401107543,0.0622,951.7657380674
72020000000000,2.162E+032,4.268E+037,0.0015217386,,40.4022730867,0.1349413701,0.04268,949.7941531591
49680000000000,1.295E+032,2.948E+037,0.0015190605,,27.8698268113,0.0808275089,0.02948,948.1226024492
37170000000000,8.812E+031,2.207E+037,0.0015177404,,20.8518812918,0.0550001551,0.02207,947.298660937
26920000000000,5.761E+031,1.6E+037,0.0015158323,,15.101766058,0.0359573188,0.016,946.10771105
18820000000000,3.584E+031,1.12E+037,0.0015135057,,10.5577725561,0.0223695592,0.0112,944.6555460136
12590000000000,2.089E+031,7.496E+036,0.0015123782,,7.0628244677,0.013038507,0.007496,943.9518376083
7906000000000,1.115E+031,4.71E+036,0.0015110543,,4.4351620525,0.0069592797,0.00471,943.125548251
6051000000000,7.798E+030,3.606E+036,0.0015103825,,3.3945314419,0.0048671268,0.003606,942.7062031846
4483000000000,5.268E+030,2.673E+036,0.0015093865,,2.5149040579,0.0032880256,0.002673,942.084580428
3177000000000,3.427E+030,1.895E+036,0.0015086627,,1.7822552291,0.0021389643,0.001895,941.632819697
2114000000000,2.155E+030,1.262E+036,0.0015073051,,1.1859262053,0.0013450446,0.001262,940.7854595417
1283000000000,1.337E+030,7.661E+035,0.0015069807,,0.7197461312,0.0008344894,0.0007661,940.5829795507
1015000000000,1.113E+030,6.059E+035,0.0015075019,,0.5694016549,0.0006946797,0.0006059,940.9082926745
894300000000,1.019E+030,5.341E+035,0.0015068643,,0.5016905418,0.0006360095,0.0005341,940.5103001771
783400000000,9.367E+029,4.68E+035,0.0015065319,,0.4394770999,0.0005846419,0.000468,940.3028671597
682200000000,8.644E+029,4.076E+035,0.0015064427,,0.3827052305,0.0005395158,0.0004076,940.2471695497
591200000000,8.015E+029,3.533E+035,0.0015062901,,0.3316554269,0.0005002567,0.0003533,940.1519493165
510800000000,7.468E+029,3.053E+035,0.0015062366,,0.286552084,0.0004661157,0.0003053,940.1185710642
