################################################################################
# config_name = BJ_MIT.properties.conf
# mu_0 = 2700.0
# quarks_eos_file_name = ../workspace.eos/eos.quarks.mit/mit_bag_model_B_170.csv
# hadrons_eos_file_name = ../workspace.eos/eos.hadron.Bethe_Johnson/bethe_johnson.csv
#
# Range Quarks - P(mu) = EoSRange(inf_limit=0.0, sup_limit=2735.758620999)
# Range Hadrons - P(mu)  = EoSRange(inf_limit=956.8691890184, sup_limit=4197.316719246667)
#
# Range = EoSRange(inf_limit=956.8691890184, sup_limit=2735.758620999)
#
# Transition pressure (hadrons) = [ 111.11100403]
# Transition pressure (quarks) = [ 111.11100403]
#
################################################################################
# energy density [MeV fm-3], pressure [MeV fm-3], chem_potential [fm-3]
20688.1894531, 6669.39648438, 2735.758621
20634.8360101, 6651.61200336, 2733.9779509
20581.5790272, 6633.85967572, 2732.19728079
20528.4175316, 6616.13923108, 2730.41661069
20475.3507687, 6598.45040159, 2728.63594059
20422.3985605, 6580.79953926, 2726.85527049
20369.5605889, 6563.18707653, 2725.07460039
20316.8177035, 6545.60615689, 2723.29393028
20264.1691869, 6528.05655839, 2721.51326018
20211.6190481, 6510.53984545, 2719.73259008
20159.1982228, 6493.06623704, 2717.95191998
20106.8714259, 6475.62372316, 2716.17124988
20054.6377894, 6458.21231636, 2714.39057977
20002.496566, 6440.83203361, 2712.60990967
19950.4819588, 6423.49395521, 2710.82923957
19898.567843, 6406.18937459, 2709.04856947
19846.7463646, 6388.91567184, 2707.26789937
19795.0171859, 6371.67268819, 2705.48722926
19743.4045395, 6354.46822525, 2703.70655916
19691.9011646, 6337.30048903, 2701.92588906
19640.490092, 6320.16334072, 2700.14521896
19589.1707118, 6303.05660077, 2698.36454886
19537.9593358, 6285.98626559, 2696.58387875
19486.8632389, 6268.95435638, 2694.80320865
19435.8584169, 6251.95280563, 2693.02253855
19384.9444139, 6234.9814713, 2691.24186845
19334.1350874, 6218.04502914, 2689.46119834
19283.444257, 6201.14808567, 2687.68052824
19232.8436356, 6184.28114325, 2685.89985814
19182.3327094, 6167.44412872, 2684.11918804
19131.9247249, 6150.64171161, 2682.33851794
19081.6369486, 6133.8789282, 2680.55784783
19031.4376206, 6117.14577794, 2678.77717773
18981.3265548, 6100.44218495, 2676.99650763
18931.3206665, 6083.77355551, 2675.21583753
18881.4325243, 6067.14406882, 2673.43516743
18831.6317485, 6050.54388173, 2671.65449732
18781.91808, 6033.97287837, 2669.87382722
18732.3135684, 6017.43816209, 2668.09315712
18682.8214556, 6000.94081072, 2666.31248702
18633.4163507, 5984.47238381, 2664.53181692
18584.097903, 5968.03276467, 2662.75114681
18534.8954933, 5951.63172162, 2660.97047671
18485.7972205, 5935.26557742, 2659.18980661
18436.7842164, 5918.92805968, 2657.40913651
18387.8559763, 5902.61899189, 2655.62846641
18339.054941, 5886.35209906, 2653.8477963
18290.3478384, 5870.11610312, 2652.0671262
18241.7254247, 5853.90839065, 2650.2864561
18193.1915654, 5837.73067539, 2648.505786
18144.7873975, 5821.59561955, 2646.72511589
18096.4672113, 5805.48888529, 2644.94444579
18048.2305969, 5789.41022435, 2643.16377569
18000.0983175, 5773.36624978, 2641.38310559
17952.0793254, 5757.35983863, 2639.60243549
17904.1439802, 5741.38116323, 2637.82176538
17856.2918003, 5725.43013121, 2636.04109528
17808.561774, 5709.52035765, 2634.26042518
17760.9246123, 5693.64145676, 2632.47975508
17713.3699287, 5677.78990248, 2630.69908498
17665.9085878, 5661.96922167, 2628.91841487
17618.5698824, 5646.18963527, 2627.13774477
17571.3127061, 5630.43730572, 2625.35707467
17524.1368017, 5614.71208765, 2623.57640457
17477.0764529, 5599.02518877, 2621.79573447
17430.1143667, 5583.37147512, 2620.01506436
17383.2328362, 5567.74452449, 2618.23439426
17336.4403282, 5552.14678999, 2616.45372416
17289.7735689, 5536.59140771, 2614.67305406
17243.1864141, 5521.06246355, 2612.89238396
17196.6784843, 5505.55979102, 2611.11171385
17150.2871012, 5490.09576562, 2609.33104375
17103.9925523, 5474.66401871, 2607.55037365
17057.7767797, 5459.25856584, 2605.76970355
17011.6537677, 5443.88411367, 2603.98903344
16965.6493677, 5428.54960688, 2602.20836334
16919.7225064, 5413.24088975, 2600.42769324
16873.8728745, 5397.95779395, 2598.64702314
16828.1510822, 5382.71731036, 2596.86635304
16782.5135009, 5367.50468301, 2595.08568293
16736.9527382, 5352.31762505, 2593.30501283
16691.4984487, 5337.1664228, 2591.52434273
16646.1475978, 5322.04943754, 2589.74367263
16600.8729721, 5306.95778212, 2587.96300253
16555.6872008, 5291.89574462, 2586.18233242
16510.6213078, 5276.87407559, 2584.40166232
16465.6312635, 5261.87736628, 2582.62099222
16420.7168899, 5246.90547002, 2580.84032212
16375.9325485, 5231.9774689, 2579.05965202
16331.2255435, 5217.07518117, 2577.27898191
16286.592424, 5202.19749008, 2575.49831181
16242.0757122, 5187.35869818, 2573.71764171
16197.6510029, 5172.55042003, 2571.93697161
16153.2995405, 5157.76654009, 2570.15630151
16109.0501029, 5143.01683892, 2568.3756314
16064.9054665, 5128.30172503, 2566.5949613
16020.8334358, 5113.61081976, 2564.8142912
15976.8522525, 5098.95042533, 2563.0336211
15932.9854475, 5084.32844318, 2561.25295099
15889.1905783, 5069.73031208, 2559.47228089
15845.4772865, 5055.15910365, 2557.69161079
15801.8879929, 5040.62933098, 2555.91094069
15758.3695625, 5026.12323795, 2554.13027059
15714.9237971, 5011.64142662, 2552.34960048
15671.6100986, 4997.20352895, 2550.56893038
15628.3663654, 4982.78883914, 2548.78826028
15585.1921897, 4968.39723381, 2547.00759018
15542.1483512, 4954.04928764, 2545.22692008
15499.1772978, 4939.72566342, 2543.44624997
15456.2749478, 4925.42499002, 2541.66557987
15413.4990379, 4911.16646217, 2539.88490977
15370.7993, 4896.93320076, 2538.10423967
15328.1673675, 4882.722474, 2536.32356957
15285.6590121, 4868.55323953, 2534.54289946
15243.2293166, 4854.40984293, 2532.76222936
15200.8669325, 4840.28868013, 2530.98155926
15158.625758, 4826.20861423, 2529.20088916
15116.463669, 4812.15459208, 2527.42021906
15074.3682765, 4798.12259607, 2525.63954895
15032.3952113, 4784.13157433, 2523.85887885
14990.4991886, 4770.16623343, 2522.07820875
14948.6686964, 4756.22275683, 2520.29753865
14906.9633584, 4742.3213001, 2518.51686854
14865.3320414, 4728.44422127, 2516.73619844
14823.7655906, 4714.58853303, 2514.95552834
14782.3282408, 4700.77619069, 2513.17485824
14740.9594576, 4686.98670307, 2511.39418814
14699.6556384, 4673.21887056, 2509.61351803
14658.4851676, 4659.49506473, 2507.83284793
14617.3777883, 4645.79243335, 2506.05217783
14576.3420227, 4632.11384481, 2504.27150773
14535.4311235, 4618.47697735, 2502.49083763
14494.5826291, 4604.86083403, 2500.71016752
14453.8145268, 4591.27136076, 2498.92949742
14413.1622274, 4577.72067093, 2497.14882732
14372.5714389, 4564.19044534, 2495.36815722
14332.0712435, 4550.69027507, 2493.58748712
14291.6749203, 4537.22505636, 2491.80681701
14251.3393239, 4523.78002676, 2490.02614691
14211.1072729, 4510.36902866, 2488.24547681
14170.965924, 4496.98854947, 2486.46480671
14130.8841711, 4483.62802998, 2484.68413661
14090.9198673, 4470.30638679, 2482.9034665
14051.0312958, 4457.01022467, 2481.1227964
14011.2011688, 4443.73372436, 2479.3421263
13971.5042164, 4430.50161511, 2477.5614562
13931.866767, 4417.28920176, 2475.78078609
13892.3039645, 4404.10149716, 2474.00011599
13852.8585296, 4390.95291517, 2472.21944589
13813.4703078, 4377.8234677, 2470.43877579
13774.1748805, 4364.72509498, 2468.65810569
13734.9770141, 4351.65924293, 2466.87743558
13695.8356192, 4338.6121824, 2465.09676548
13656.808398, 4325.60300631, 2463.31609538
13617.8570739, 4312.61912952, 2461.53542528
13578.9634979, 4299.65450114, 2459.75475518
13540.201659, 4286.73388634, 2457.97408507
13501.4945988, 4273.83153292, 2456.19341497
13462.8686164, 4260.95620545, 2454.41274487
13424.349679, 4248.11664106, 2452.63207477
13385.8847095, 4235.29504528, 2450.85140467
13347.5265226, 4222.50888135, 2449.07073456
13309.2491526, 4209.74977874, 2447.29006446
13271.025318, 4197.0086018, 2445.50939436
13232.934739, 4184.31164131, 2443.72872426
13194.8964844, 4171.63216146, 2441.94805416
13156.939822, 4158.97994066, 2440.16738405
13119.0877825, 4146.36259417, 2438.38671395
13081.28727, 4133.76239046, 2436.60604385
13043.5985731, 4121.1992908, 2434.82537375
13005.9823772, 4108.66054852, 2433.04470364
12968.4275065, 4096.14240852, 2431.26403354
12930.9959881, 4083.66524799, 2429.48336344
12893.6143281, 4071.20466558, 2427.70269334
12856.3273886, 4058.77558599, 2425.92202324
