################################################################################
# config_name = BJ_MIT.properties.conf
# mu_0 = 2700.0
# quarks_eos_file_name = ../workspace.eos/eos.quarks.mit/mit_bag_model_B_110.csv
# hadrons_eos_file_name = ../workspace.eos/eos.hadron.Bethe_Johnson/bethe_johnson.csv
#
# Range Quarks - P(mu) = EoSRange(inf_limit=0.0, sup_limit=2735.758620999)
# Range Hadrons - P(mu)  = EoSRange(inf_limit=956.8691890184, sup_limit=4197.316719246667)
#
# Range = EoSRange(inf_limit=956.8691890184, sup_limit=2735.758620999)
#
# Transition pressure (hadrons) = [ 5.27970108]
# Transition pressure (quarks) = [ 5.27970108]
#
################################################################################
# energy density [MeV fm-3], pressure [MeV fm-3], chem_potential [fm-3]
20628.1894531, 6729.39648438, 2735.758621
20574.8360101, 6711.61200336, 2733.9779509
20521.5790272, 6693.85967572, 2732.19728079
20468.4175316, 6676.13923108, 2730.41661069
20415.3507687, 6658.45040159, 2728.63594059
20362.3985605, 6640.79953926, 2726.85527049
20309.5605889, 6623.18707653, 2725.07460039
20256.8177035, 6605.60615689, 2723.29393028
20204.1691869, 6588.05655839, 2721.51326018
20151.6190481, 6570.53984545, 2719.73259008
20099.1982228, 6553.06623704, 2717.95191998
20046.8714259, 6535.62372316, 2716.17124988
19994.6377894, 6518.21231636, 2714.39057977
19942.496566, 6500.83203361, 2712.60990967
19890.4819588, 6483.49395521, 2710.82923957
19838.567843, 6466.18937459, 2709.04856947
19786.7463646, 6448.91567184, 2707.26789937
19735.0171859, 6431.67268819, 2705.48722926
19683.4045395, 6414.46822525, 2703.70655916
19631.9011646, 6397.30048903, 2701.92588906
19580.490092, 6380.16334072, 2700.14521896
19529.1707118, 6363.05660077, 2698.36454886
19477.9593358, 6345.98626559, 2696.58387875
19426.8632389, 6328.95435638, 2694.80320865
19375.8584169, 6311.95280563, 2693.02253855
19324.9444139, 6294.9814713, 2691.24186845
19274.1350874, 6278.04502914, 2689.46119834
19223.444257, 6261.14808567, 2687.68052824
19172.8436356, 6244.28114325, 2685.89985814
19122.3327094, 6227.44412872, 2684.11918804
19071.9247249, 6210.64171161, 2682.33851794
19021.6369486, 6193.8789282, 2680.55784783
18971.4376206, 6177.14577794, 2678.77717773
18921.3265548, 6160.44218495, 2676.99650763
18871.3206665, 6143.77355551, 2675.21583753
18821.4325243, 6127.14406882, 2673.43516743
18771.6317485, 6110.54388173, 2671.65449732
18721.91808, 6093.97287837, 2669.87382722
18672.3135684, 6077.43816209, 2668.09315712
18622.8214556, 6060.94081072, 2666.31248702
18573.4163507, 6044.47238381, 2664.53181692
18524.097903, 6028.03276467, 2662.75114681
18474.8954933, 6011.63172162, 2660.97047671
18425.7972205, 5995.26557742, 2659.18980661
18376.7842164, 5978.92805968, 2657.40913651
18327.8559763, 5962.61899189, 2655.62846641
18279.054941, 5946.35209906, 2653.8477963
18230.3478384, 5930.11610312, 2652.0671262
18181.7254247, 5913.90839065, 2650.2864561
18133.1915654, 5897.73067539, 2648.505786
18084.7873975, 5881.59561955, 2646.72511589
18036.4672113, 5865.48888529, 2644.94444579
17988.2305969, 5849.41022435, 2643.16377569
17940.0983175, 5833.36624978, 2641.38310559
17892.0793254, 5817.35983863, 2639.60243549
17844.1439802, 5801.38116323, 2637.82176538
17796.2918003, 5785.43013121, 2636.04109528
17748.561774, 5769.52035765, 2634.26042518
17700.9246123, 5753.64145676, 2632.47975508
17653.3699287, 5737.78990248, 2630.69908498
17605.9085878, 5721.96922167, 2628.91841487
17558.5698824, 5706.18963527, 2627.13774477
17511.3127061, 5690.43730572, 2625.35707467
17464.1368017, 5674.71208765, 2623.57640457
17417.0764529, 5659.02518877, 2621.79573447
17370.1143667, 5643.37147512, 2620.01506436
17323.2328362, 5627.74452449, 2618.23439426
17276.4403282, 5612.14678999, 2616.45372416
17229.7735689, 5596.59140771, 2614.67305406
17183.1864141, 5581.06246355, 2612.89238396
17136.6784843, 5565.55979102, 2611.11171385
17090.2871012, 5550.09576562, 2609.33104375
17043.9925523, 5534.66401871, 2607.55037365
16997.7767797, 5519.25856584, 2605.76970355
16951.6537677, 5503.88411367, 2603.98903344
16905.6493677, 5488.54960688, 2602.20836334
16859.7225064, 5473.24088975, 2600.42769324
16813.8728745, 5457.95779395, 2598.64702314
16768.1510822, 5442.71731036, 2596.86635304
16722.5135009, 5427.50468301, 2595.08568293
16676.9527382, 5412.31762505, 2593.30501283
16631.4984487, 5397.1664228, 2591.52434273
16586.1475978, 5382.04943754, 2589.74367263
16540.8729721, 5366.95778212, 2587.96300253
16495.6872008, 5351.89574462, 2586.18233242
16450.6213078, 5336.87407559, 2584.40166232
16405.6312635, 5321.87736628, 2582.62099222
16360.7168899, 5306.90547002, 2580.84032212
16315.9325485, 5291.9774689, 2579.05965202
16271.2255435, 5277.07518117, 2577.27898191
16226.592424, 5262.19749008, 2575.49831181
16182.0757122, 5247.35869818, 2573.71764171
16137.6510029, 5232.55042003, 2571.93697161
16093.2995405, 5217.76654009, 2570.15630151
16049.0501029, 5203.01683892, 2568.3756314
16004.9054665, 5188.30172503, 2566.5949613
15960.8334358, 5173.61081976, 2564.8142912
15916.8522525, 5158.95042533, 2563.0336211
15872.9854475, 5144.32844318, 2561.25295099
15829.1905783, 5129.73031208, 2559.47228089
15785.4772865, 5115.15910365, 2557.69161079
15741.8879929, 5100.62933098, 2555.91094069
15698.3695625, 5086.12323795, 2554.13027059
15654.9237971, 5071.64142662, 2552.34960048
15611.6100986, 5057.20352895, 2550.56893038
15568.3663654, 5042.78883914, 2548.78826028
15525.1921897, 5028.39723381, 2547.00759018
15482.1483512, 5014.04928764, 2545.22692008
15439.1772978, 4999.72566342, 2543.44624997
15396.2749478, 4985.42499002, 2541.66557987
15353.4990379, 4971.16646217, 2539.88490977
15310.7993, 4956.93320076, 2538.10423967
15268.1673675, 4942.722474, 2536.32356957
15225.6590121, 4928.55323953, 2534.54289946
15183.2293166, 4914.40984293, 2532.76222936
15140.8669325, 4900.28868013, 2530.98155926
15098.625758, 4886.20861423, 2529.20088916
15056.463669, 4872.15459208, 2527.42021906
15014.3682765, 4858.12259607, 2525.63954895
14972.3952113, 4844.13157433, 2523.85887885
14930.4991886, 4830.16623343, 2522.07820875
14888.6686964, 4816.22275683, 2520.29753865
14846.9633584, 4802.3213001, 2518.51686854
14805.3320414, 4788.44422127, 2516.73619844
14763.7655906, 4774.58853303, 2514.95552834
14722.3282408, 4760.77619069, 2513.17485824
14680.9594576, 4746.98670307, 2511.39418814
14639.6556384, 4733.21887056, 2509.61351803
14598.4851676, 4719.49506473, 2507.83284793
14557.3777883, 4705.79243335, 2506.05217783
14516.3420227, 4692.11384481, 2504.27150773
14475.4311235, 4678.47697735, 2502.49083763
14434.5826291, 4664.86083403, 2500.71016752
14393.8145268, 4651.27136076, 2498.92949742
14353.1622274, 4637.72067093, 2497.14882732
14312.5714389, 4624.19044534, 2495.36815722
14272.0712435, 4610.69027507, 2493.58748712
14231.6749203, 4597.22505636, 2491.80681701
14191.3393239, 4583.78002676, 2490.02614691
14151.1072729, 4570.36902866, 2488.24547681
14110.965924, 4556.98854947, 2486.46480671
14070.8841711, 4543.62802998, 2484.68413661
14030.9198673, 4530.30638679, 2482.9034665
13991.0312958, 4517.01022467, 2481.1227964
13951.2011688, 4503.73372436, 2479.3421263
13911.5042164, 4490.50161511, 2477.5614562
13871.866767, 4477.28920176, 2475.78078609
13832.3039645, 4464.10149716, 2474.00011599
13792.8585296, 4450.95291517, 2472.21944589
13753.4703078, 4437.8234677, 2470.43877579
13714.1748805, 4424.72509498, 2468.65810569
13674.9770141, 4411.65924293, 2466.87743558
13635.8356192, 4398.6121824, 2465.09676548
13596.808398, 4385.60300631, 2463.31609538
13557.8570739, 4372.61912952, 2461.53542528
13518.9634979, 4359.65450114, 2459.75475518
13480.201659, 4346.73388634, 2457.97408507
13441.4945988, 4333.83153292, 2456.19341497
13402.8686164, 4320.95620545, 2454.41274487
13364.349679, 4308.11664106, 2452.63207477
13325.8847095, 4295.29504528, 2450.85140467
13287.5265226, 4282.50888135, 2449.07073456
13249.2491526, 4269.74977874, 2447.29006446
13211.025318, 4257.0086018, 2445.50939436
13172.934739, 4244.31164131, 2443.72872426
13134.8964844, 4231.63216146, 2441.94805416
13096.939822, 4218.97994066, 2440.16738405
13059.0877825, 4206.36259417, 2438.38671395
13021.28727, 4193.76239046, 2436.60604385
12983.5985731, 4181.1992908, 2434.82537375
12945.9823766, 4168.66062999, 2433.04470364
12908.4275065, 4156.14264038, 2431.26403354
12870.9959874, 4143.66521657, 2429.48336344
12833.6143279, 4131.20450857, 2427.70269334
12796.3273886, 4118.77572833, 2425.92202324
12759.1285514, 4106.37624962, 2424.14135313
12721.9784619, 4093.99298051, 2422.36068303
12684.9596224, 4081.65326829, 2420.58001293
12647.9922069, 4069.33071689, 2418.79934283
12611.1066631, 4057.03548581, 2417.01867273
12574.3209346, 4044.77359996, 2415.23800262
12537.5825731, 4032.52751547, 2413.45733252
12500.9650778, 4020.32158477, 2411.67666242
12464.4069997, 4008.13559074, 2409.89599232
12427.9230673, 3995.97447709, 2408.11532222
12391.545009, 3983.84849908, 2406.33465211
12355.2127117, 3971.73770132, 2404.55398201
12318.9973516, 3959.66567, 2402.77331191
12282.8442889, 3947.61454172, 2400.99264181
12246.7621687, 3935.58721706, 2399.21197171
12210.7870576, 3923.59564032, 2397.4313016
12174.8559449, 3911.61873623, 2395.6506315
12139.041732, 3899.68071363, 2393.8699614
12103.2882927, 3887.76290474, 2392.0892913
12067.6081562, 3875.86947769, 2390.30862119
12032.0316414, 3864.01051641, 2388.52795109
11996.4974007, 3852.16564576, 2386.74728099
11961.084504, 3840.36144349, 2384.96661089
11925.7255081, 3828.57514952, 2383.18594079
11890.4469305, 3816.815576, 2381.40527068
11855.2630677, 3805.08770943, 2379.62460058
11820.1197254, 3793.37340454, 2377.84393048
11785.1088696, 3781.70311931, 2376.06326038
11750.1396616, 3770.04667221, 2374.28259028
11715.2627831, 3758.42090284, 2372.50192017
11680.4669434, 3746.82223309, 2370.72125007
11645.7239272, 3735.24122767, 2368.94057997
11611.100688, 3723.70014796, 2367.15990987
11576.5156481, 3712.17182643, 2365.37923977
11542.0400132, 3700.68009061, 2363.59856966
11507.6266678, 3689.20894328, 2361.81789956
11473.285689, 3677.76171382, 2360.03722946
11439.0433536, 3666.3475752, 2358.25655936
11404.8373558, 3654.94562251, 2356.47588926
11370.7636332, 3643.58771496, 2354.69521915
11336.7273058, 3632.24229903, 2352.91454905
11302.7873209, 3620.92906423, 2351.13387895
11268.9201833, 3609.6400611, 2349.35320885
11235.1143796, 3598.37145986, 2347.57253874
11201.415593, 3587.13860533, 2345.79186864
11167.7507819, 3575.91707925, 2344.01119854
11134.2129839, 3564.73762757, 2342.23052844
11100.7158474, 3553.57180103, 2340.44985834
11067.3113197, 3542.43700449, 2338.66918823
11033.980619, 3531.32681753, 2336.88851813
11000.7103544, 3520.23677518, 2335.10784803
10967.5456155, 3509.18194475, 2333.32717793
10934.4123219, 3498.13760284, 2331.54650783
10901.4096666, 3487.13667139, 2329.76583772
10868.4412635, 3476.14715791, 2327.98516762
10835.5725083, 3465.19086003, 2326.20449752
10802.7681748, 3454.25610288, 2324.42382742
10770.0331998, 3443.34453561, 2322.64315732
10737.3925001, 3432.46426569, 2320.86248721
10704.7917306, 3421.59725099, 2319.08181711
10672.313618, 3410.77124771, 2317.30114701
10639.8638258, 3399.95466664, 2315.52047691
10607.5310975, 3389.17690896, 2313.73980681
10575.2431405, 3378.41416652, 2311.9591367
10543.0437049, 3367.68111175, 2310.1784666
10510.9160901, 3356.97204609, 2308.3977965
10478.8503698, 3346.28365272, 2306.6171264
10446.8830173, 3335.62788339, 2304.83645629
10414.9514264, 3324.98397495, 2303.05578619
10383.1437341, 3314.38140745, 2301.27511609
10351.3609686, 3303.78714284, 2299.49444599
10319.6972643, 3293.23248499, 2297.71377589
10288.0725793, 3282.69088557, 2295.93310578
10256.5426281, 3272.18099122, 2294.15243568
10225.0754125, 3261.69194559, 2292.37176558
10193.6796237, 3251.22663855, 2290.59109548
10162.369048, 3240.78976405, 2288.81042538
10131.1067628, 3230.36900232, 2287.02975527
10099.952533, 3219.9842238, 2285.24908517
10068.8246881, 3209.60823096, 2283.46841507
10037.8252912, 3199.27509707, 2281.68774497
10006.8466473, 3188.94887749, 2279.90707487
9975.98623306, 3178.6620286, 2278.12640476
9945.16180868, 3168.38719979, 2276.34573466
9914.43544419, 3158.14512225, 2274.56506456
9883.7641315, 3147.92139516, 2272.78439446
9853.17116286, 3137.72378271, 2271.00372436
9822.65226902, 3127.55081364, 2269.22305425
9792.19361543, 3117.39788554, 2267.44238415
9761.82649965, 3107.27552976, 2265.66171405
9731.5015069, 3097.16724222, 2263.88104395
9701.28546041, 3087.09519946, 2262.10037385
9671.09451789, 3077.03150877, 2260.31970374
9641.02879695, 3067.00959898, 2258.53903364
9610.97870462, 3056.99289751, 2256.75836354
9581.05546771, 3047.0183988, 2254.97769344
9551.15401268, 3037.05118862, 2253.19702333
9521.36442867, 3027.1214133, 2251.41635323
9491.6108284, 3017.2036325, 2249.63568313
9461.95528069, 3007.31853556, 2247.85501303
9432.34904202, 2997.44982819, 2246.07434293
9402.82739634, 2987.60923662, 2244.29367282
9373.36783008, 2977.78931831, 2242.51300272
9343.98045991, 2967.99344339, 2240.73233262
9314.66638674, 2958.22209376, 2238.95166252
9285.41213756, 2948.47076262, 2237.17099242
9256.24304029, 2938.74776148, 2235.39032231
9227.12330554, 2929.04118323, 2233.60965221
9198.09856225, 2919.36614933, 2231.82898211
9169.11269507, 2909.70402467, 2230.04831201
9140.23117072, 2900.07684559, 2228.26764191
9111.37903296, 2890.45950838, 2226.4869718
9082.63977305, 2880.8798681, 2224.7063017
9053.92122933, 2871.30714572, 2222.9256316
9025.32373196, 2861.77469661, 2221.1449615
8996.73914637, 2852.24654306, 2219.3642914
8968.28300045, 2842.76108358, 2217.58362129
8939.83310431, 2833.27770079, 2215.80295119
8911.5165147, 2823.83879633, 2214.02228109
8883.20568167, 2814.40181836, 2212.24161099
8855.02263297, 2805.00759273, 2210.46094088
8826.84996804, 2795.61681624, 2208.68027078
8798.80131069, 2786.26722218, 2206.89960068
8770.76672126, 2776.92231799, 2205.11893058
8742.85181629, 2767.61730826, 2203.33826048
8714.95385157, 2758.31796151, 2201.55759037
8687.17255802, 2749.05761202, 2199.77692027
8659.41029565, 2739.80360018, 2197.99625017
8631.76296124, 2730.58786306, 2196.21558007
8604.13589417, 2721.37885151, 2194.43490997
8576.62286647, 2712.20767901, 2192.65423986
8549.13033306, 2703.04336918, 2190.87356976
8521.75097538, 2693.91695724, 2189.09289966
8494.39154201, 2684.79718067, 2187.31222956
8467.14571175, 2675.71523725, 2185.53155946
8439.91849604, 2666.63949868, 2183.75088935
8412.80701793, 2657.60233931, 2181.97021925
8385.71175437, 2648.57057569, 2180.18954915
8358.73399751, 2639.57790931, 2178.40887905
8331.76924147, 2630.5896036, 2176.62820895
8304.9250572, 2621.64174271, 2174.84753884
8278.08982982, 2612.6968489, 2173.06686874
8251.38003312, 2603.79350338, 2171.28619864
8224.67414266, 2594.89145982, 2169.50552854
8198.09810278, 2586.0327003, 2167.72485843
8171.5220629, 2577.17394079, 2165.94418833
8145.07761685, 2568.35916304, 2164.16351823
8118.63518507, 2559.54505904, 2162.38284813
8092.31803497, 2550.77271504, 2160.60217803
8066.00977549, 2542.00333494, 2158.82150792
8039.81865574, 2533.27296663, 2157.04083782
8013.64417972, 2524.54814129, 2155.26016772
7987.57819563, 2515.85947992, 2153.47949762
7961.53758709, 2507.17927708, 2151.69882752
7935.59586346, 2498.53197803, 2149.91815741
7909.68920488, 2489.89634694, 2148.13748731
7883.87069948, 2481.29020342, 2146.35681721
7858.09783784, 2472.69932737, 2144.57614711
7832.40159676, 2464.13390201, 2142.79547701
7806.76260985, 2455.58749562, 2141.0148069
7781.18772028, 2447.06251094, 2139.2341368
7755.68268868, 2438.56087225, 2137.4534667
7730.22814786, 2430.07606435, 2135.6727966
7704.85691417, 2421.61902476, 2133.8921265
7679.521736, 2413.17399338, 2132.11145639
7654.28460478, 2404.76161631, 2130.33078629
7629.06791963, 2396.35604253, 2128.55011619
7603.96450249, 2387.98816034, 2126.76944609
7578.86502045, 2379.62159575, 2124.98877598
7553.89539101, 2371.29850037, 2123.20810588
7528.92576156, 2362.97540498, 2121.42743578
7504.0765869, 2354.6922903, 2119.64676568
