# energia,  pressao,  nB,  muB
1750.8176359547, 1017.380157231, 2.14, 1293.550370649
1737.9036586974, 1008.1876098363, 2.13, 1289.2447270112
1725.0327508834, 999.0325850216, 2.12, 1284.9364792005
1712.2049386565, 989.9150918825, 2.11, 1280.6256068914
1699.4202483661, 980.8351395872, 2.1, 1276.3120895021
1686.6787065666, 971.7927373761, 2.09, 1271.9959061925
1673.9803400219, 962.7878945637, 2.08, 1267.6770358577
1661.3251757077, 953.8206205393, 2.07, 1263.3554571245
1648.7132408186, 944.8909247694, 2.06, 1259.0311483439
1636.1445627635, 935.9988167961, 2.05, 1254.7040875901
1623.6191691746, 927.1443062404, 2.04, 1250.3742526525
1611.1370879006, 918.3274028002, 2.03, 1246.0416210353
1598.6983470305, 909.5481162574, 2.02, 1241.7061699422
1586.302974866, 900.8064564701, 2.01, 1237.3678762857
1573.9509999534, 892.102433382, 2, 1233.0267166683
1561.6424510738, 883.4360570201, 1.99, 1228.6826673822
1549.3773572375, 874.8073374925, 1.98, 1224.3357044088
1537.1557477085, 866.2162849969, 1.97, 1219.9858034019
1524.9776519856, 857.6629098141, 1.96, 1215.6329396928
1512.8430998231, 849.1472223151, 1.95, 1211.2770882759
1500.7521212278, 840.6692329603, 1.94, 1206.9182238049
1488.7047464518, 832.228952297, 1.93, 1202.5563205923
1476.7010060126, 823.8263909662, 1.92, 1198.1913525945
1464.7409306992, 815.4615597049, 1.91, 1193.8232934039
1452.8245515478, 807.134469338, 1.9, 1189.4521162552
1440.951899878, 798.8451307903, 1.89, 1185.0777940033
1429.1230072749, 790.5935550808, 1.88, 1180.7002991262
1417.3379056085, 782.3797533292, 1.87, 1176.3196037099
1405.5966270211, 774.203736752, 1.86, 1171.9356794494
1393.8992039496, 766.0655166696, 1.85, 1167.5484976313
1382.2456691092, 757.9651045014, 1.84, 1163.1580291366
1370.6360555196, 749.9025117742, 1.83, 1158.764244421
1359.0703964855, 741.8777501164, 1.82, 1154.3671135186
1347.5487256303, 733.8908312687, 1.81, 1149.9666060191
1336.0710768618, 725.9417670733, 1.8, 1145.5626910773
1324.6374844238, 718.0305694909, 1.79, 1141.1553373817
1313.2479828521, 710.1572505862, 1.78, 1136.7445131686
1301.9026070181, 702.3218225427, 1.77, 1132.3301861938
1290.6013921121, 694.5242976571, 1.76, 1127.9123237332
1279.3443736523, 686.7646883423, 1.75, 1123.4908925709
1268.131587499, 679.0430071329, 1.74, 1119.0658589843
1256.9630698433, 671.3592666805, 1.73, 1114.6371887417
1245.8388572255, 663.7134797611, 1.72, 1110.2048470847
1234.7589865368, 656.1056592749, 1.71, 1105.7687987194
1223.7234950212, 648.5358182476, 1.7, 1101.3290078063
1212.7324202904, 641.0039698354, 1.69, 1096.8854379439
1201.7858003151, 633.510127322, 1.68, 1092.4380521638
1190.8836734418, 626.0543041249, 1.67, 1087.9868129131
1180.026078397, 618.6365137961, 1.66, 1083.5316820423
1169.2130542897, 611.2567700241, 1.65, 1079.0726207938
1158.4446406169, 603.9150866352, 1.64, 1074.609589789
1147.7208772831, 596.6114776001, 1.63, 1070.1425490079
1137.0418045849, 589.3459570296, 1.62, 1065.6714577855
1126.4074632308, 582.1185391807, 1.61, 1061.1962747908
1115.8178943517, 574.9292384607, 1.6, 1056.7169580099
1105.2731395002, 567.7780694269, 1.59, 1052.2334647338
1094.7732406534, 560.6650467879, 1.58, 1047.7457515452
1084.3182402334, 553.5901854105, 1.57, 1043.2537742951
1073.9081811037, 546.5535003186, 1.56, 1038.7574880912
1063.5431065819, 539.5550066981, 1.55, 1034.2568472782
1053.2230604479, 532.5947198992, 1.54, 1029.7518054195
1042.9480869448, 525.6726554374, 1.53, 1025.2423152824
1032.7182307969, 518.7888289996, 1.52, 1020.7283288137
1022.5335372127, 511.9432564451, 1.51, 1016.2097971229
1012.3940518888, 505.1359538075, 1.5, 1011.6866704644
1002.299821032, 498.366937302, 1.49, 1007.15889821
992.2508913526, 491.6362233236, 1.48, 1002.6264288348
982.2473100844, 484.9438284539, 1.47, 998.0892098898
972.289124989, 478.2897694629, 1.46, 993.5471879816
962.3763843701, 471.6740633138, 1.45, 989.0003087465
952.5091370722, 465.0967271632, 1.44, 984.4485168313
942.687432508, 458.5577783702, 1.43, 979.8917558598
932.9113206534, 452.0572344953, 1.42, 975.3299684146
923.1808520642, 445.595113306, 1.41, 970.7630960069
913.4960778867, 439.1714327807, 1.4, 966.1910790489
903.8570498715, 432.7862111137, 1.39, 961.6138568244
894.2638203804, 426.4394667179, 1.38, 957.0313674607
884.7164423944, 420.1312182276, 1.37, 952.4435479003
875.2149695421, 413.8614845083, 1.36, 947.8503338615
865.7594560935, 407.6302846553, 1.35, 943.2516598141
856.3499569803, 401.4376380003, 1.34, 938.6474589424
846.986527815, 395.2835641188, 1.33, 934.0376631071
837.6692248892, 389.1680828294, 1.32, 929.4222028165
828.3981052033, 383.0912142043, 1.31, 924.8010071809
819.1732264716, 377.0529785713, 1.3, 920.174003879
809.9946471385, 371.0533965199, 1.29, 915.5411191158
800.8624263955, 365.0924889071, 1.28, 910.9022775808
791.7766241931, 359.1702768617, 1.27, 906.2574024064
782.7373012602, 353.2867817919, 1.26, 901.6064151209
773.7445191154, 347.4420253889, 1.25, 896.949235605
764.7983400925, 341.6360296359, 1.24, 892.2857820395
755.8988273483, 335.8688168118, 1.23, 887.6159708595
747.0460448801, 330.1404094968, 1.22, 882.9397167031
738.2400575585, 324.4508305846, 1.21, 878.2569323504
729.4809311292, 318.8001032828, 1.2, 873.5675286761
720.7687322373, 313.1882511224, 1.19, 868.8714145887
712.1035284541, 307.6152979668, 1.18, 864.1684969675
703.4853882904, 302.0812680169, 1.17, 859.458680603
694.9143812159, 296.5861858184, 1.16, 854.7418681329
686.390577693, 291.1300762734, 1.15, 850.0179599686
677.9140491821, 285.7129646435, 1.14, 845.286854233
669.4848681829, 280.3348765636, 1.13, 840.5484466785
661.1031082447, 274.9958380464, 1.12, 835.8026306172
652.7688439981, 269.6958754936, 1.11, 831.0492968383
644.4821511758, 264.4350157038, 1.1, 826.2883335274
636.2431066461, 259.2132858845, 1.09, 821.5196261766
628.0517884376, 254.0307136607, 1.08, 816.7430574962
619.908275757, 248.8873270826, 1.07, 811.9585073255
611.812649037, 243.7831546416, 1.06, 807.1658525258
603.7649899525, 238.7182252772, 1.05, 802.3649668851
595.7653814578, 233.6925683901, 1.04, 797.5557210085
587.8139078176, 228.7062138539, 1.03, 792.737982207
579.9106546405, 223.7591920269, 1.02, 787.911614381
572.055708913, 218.8515337647, 1.01, 783.0764778989
564.2491590361, 213.9832704339, 1, 778.2324294693
556.491094862, 209.1544339251, 0.99, 773.3793220073
548.7816077373, 204.3650566685, 0.98, 768.5170044934
541.1207905323, 199.6151716454, 0.97, 763.6453218315
533.5087376954, 194.9048124073, 0.96, 758.76411469
525.9455452879, 190.2340130889, 0.95, 753.873219345
518.4313110327, 185.6028084263, 0.94, 748.9724675092
510.9661343556, 181.0112337715, 0.93, 744.0616861582
503.5501164405, 176.4593251131, 0.92, 739.1406973407
496.1833602747, 171.9471190926, 0.91, 734.2093179862
488.8659707038, 167.4746530245, 0.9, 729.2673596982
481.5980544837, 163.0419649159, 0.89, 724.3146285399
474.3797203414, 158.6490934879, 0.88, 719.3509248047
467.2110790251, 154.2960781949, 0.87, 714.3760427817
460.0922433777, 149.9829592506, 0.86, 709.3897704981
453.0233283911, 145.709777649, 0.85, 704.3918894582
446.0044512757, 141.4765751889, 0.84, 699.3821743623
439.0357315311, 137.2833945007, 0.83, 694.3603928106
432.1172910202, 133.1302790729, 0.82, 689.326304991
425.2492540367, 129.0172732775, 0.81, 684.2796633526
418.4317473977, 124.9444224037, 0.8, 679.2202122515
411.6649005122, 120.9117726832, 0.79, 674.1476875886
404.9488454778, 116.9193713256, 0.78, 669.0618164141
398.2837171672, 112.9672665507, 0.77, 663.9623165158
391.6696533228, 109.0555076224, 0.76, 658.8488959806
385.1067946582, 105.1841448873, 0.75, 653.7212527279
378.5952849601, 101.353229811, 0.74, 648.579074016
372.1352711994, 97.5628150198, 0.73, 643.422035916
365.7269036419, 93.8129543413, 0.72, 638.2498027546
359.3703359747, 90.103702851, 0.71, 633.0620265162
353.0657254296, 86.4351169175, 0.7, 627.8583462104
346.8132329143, 82.8072542513, 0.69, 622.6383871969
340.6130231565, 79.2201739578, 0.68, 617.4017604618
334.465264848, 75.6739365903, 0.67, 612.148061848
328.3701308025, 72.1686042084, 0.66, 606.8768712298
322.3277981203, 68.7042404387, 0.65, 601.5877516299
316.3384483579, 65.2809105377, 0.64, 596.2802482749
310.4022677147, 61.8986814603, 0.63, 590.9538875793
304.5194472243, 58.5576219309, 0.62, 585.6081760567
298.6901829608, 55.2578025192, 0.61, 580.242599148
292.9146762558, 51.9992957208, 0.6, 574.8566199605
287.193133926, 48.782176041, 0.59, 569.4496779108
281.525768522, 45.6065200871, 0.58, 564.0211872569
275.9127985825, 42.4724066621, 0.57, 558.5705355173
270.354448915, 39.3799168687, 0.56, 553.0970817564
264.8509508862, 36.3291342164, 0.55, 547.6001547312
259.4025427361, 33.3201447383, 0.54, 542.0790508783
254.0094699137, 30.3530371146, 0.53, 536.5330321286
248.6719854312, 27.4279028041, 0.52, 530.9613235301
243.3903502487, 24.5448361864, 0.51, 525.3631106567
238.1648336796, 21.7039347119, 0.5, 519.7375367822
232.9957138314, 18.9052990649, 0.49, 514.0836997886
227.8832780775, 16.1490333379, 0.48, 508.4006487815
222.8278235597, 13.4352452182, 0.47, 502.687380378
217.829657737, 10.7640461899, 0.46, 496.9428346237
212.8890989721, 8.1355517519, 0.45, 491.1658904985
208.0064771679, 5.5498816521, 0.44, 485.3553609542
203.1821344526, 3.0071601418, 0.43, 479.5099874288
198.4164259283, 0.5075162514, 0.42, 473.6284337623
193.7097204797, -1.9489159102, 0.41, 467.709279438
