# mass density [g cm-3], pressure [erg cm-3], baryon density [1/fm-3]
# Bethe & Johnson EoS, , ,
# epsilon [MeV/fm^3], pressure [MeV/fm^3], baryonic_density [1/fm^3], chem_potential[MeV]
5.920503e+15, 3.505190e+36, 2e+39
5.885363e+15, 3.473340e+36, 2e+39
5.850349e+15, 3.441665e+36, 2e+39
5.815462e+15, 3.410167e+36, 2e+39
5.780702e+15, 3.378844e+36, 2e+39
5.746068e+15, 3.347695e+36, 2e+39
5.711559e+15, 3.316722e+36, 2e+39
5.677177e+15, 3.285923e+36, 2e+39
5.642920e+15, 3.255298e+36, 2e+39
5.608789e+15, 3.224847e+36, 2e+39
5.574782e+15, 3.194569e+36, 2e+39
5.540900e+15, 3.164464e+36, 2e+39
5.507143e+15, 3.134531e+36, 2e+39
5.473510e+15, 3.104771e+36, 2e+39
5.440001e+15, 3.075183e+36, 2e+39
5.406616e+15, 3.045767e+36, 2e+39
5.373354e+15, 3.016522e+36, 2e+39
5.340215e+15, 2.987447e+36, 2e+39
5.307200e+15, 2.958543e+36, 2e+39
5.274307e+15, 2.929810e+36, 2e+39
5.241537e+15, 2.901246e+36, 2e+39
5.208889e+15, 2.872852e+36, 2e+39
5.176363e+15, 2.844627e+36, 2e+39
5.143958e+15, 2.816571e+36, 2e+39
5.111676e+15, 2.788683e+36, 2e+39
5.079514e+15, 2.760963e+36, 2e+39
5.047473e+15, 2.733411e+36, 2e+39
5.015553e+15, 2.706026e+36, 2e+39
4.983754e+15, 2.678808e+36, 2e+39
4.952074e+15, 2.651757e+36, 2e+39
4.920515e+15, 2.624872e+36, 2e+39
4.889075e+15, 2.598153e+36, 2e+39
4.857755e+15, 2.571600e+36, 2e+39
4.826553e+15, 2.545212e+36, 2e+39
4.795471e+15, 2.518989e+36, 2e+39
4.764507e+15, 2.492930e+36, 2e+39
4.733662e+15, 2.467035e+36, 2e+39
4.702935e+15, 2.441304e+36, 2e+39
4.672325e+15, 2.415737e+36, 2e+39
4.641833e+15, 2.390332e+36, 2e+39
4.611459e+15, 2.365090e+36, 2e+39
4.581201e+15, 2.340011e+36, 2e+39
4.551060e+15, 2.315093e+36, 2e+39
4.521036e+15, 2.290337e+36, 2e+39
4.491128e+15, 2.265742e+36, 2e+39
4.461336e+15, 2.241308e+36, 2e+39
4.431660e+15, 2.217034e+36, 2e+39
4.402099e+15, 2.192921e+36, 2e+39
4.372653e+15, 2.168967e+36, 2e+39
4.343322e+15, 2.145172e+36, 2e+39
4.314106e+15, 2.121536e+36, 2e+39
4.285004e+15, 2.098059e+36, 2e+39
4.256017e+15, 2.074741e+36, 2e+39
4.227143e+15, 2.051579e+36, 2e+39
4.198382e+15, 2.028576e+36, 2e+39
4.169735e+15, 2.005729e+36, 2e+39
4.141201e+15, 1.983040e+36, 2e+39
4.112780e+15, 1.960506e+36, 2e+39
4.084471e+15, 1.938129e+36, 2e+39
4.056274e+15, 1.915907e+36, 2e+39
4.028190e+15, 1.893840e+36, 2e+39
4.000217e+15, 1.871928e+36, 2e+39
3.972355e+15, 1.850170e+36, 2e+39
3.944604e+15, 1.828567e+36, 2e+39
3.916964e+15, 1.807117e+36, 2e+39
3.889435e+15, 1.785820e+36, 2e+39
3.862016e+15, 1.764677e+36, 2e+39
3.834707e+15, 1.743685e+36, 2e+39
3.807508e+15, 1.722846e+36, 2e+39
3.780418e+15, 1.702159e+36, 2e+39
3.753437e+15, 1.681623e+36, 2e+39
3.726565e+15, 1.661237e+36, 2e+39
3.699801e+15, 1.641003e+36, 2e+39
3.673146e+15, 1.620918e+36, 1e+39
3.646599e+15, 1.600984e+36, 1e+39
3.620160e+15, 1.581198e+36, 1e+39
3.593828e+15, 1.561562e+36, 1e+39
3.567603e+15, 1.542074e+36, 1e+39
3.541485e+15, 1.522735e+36, 1e+39
3.515474e+15, 1.503543e+36, 1e+39
3.489569e+15, 1.484498e+36, 1e+39
3.463770e+15, 1.465601e+36, 1e+39
3.438077e+15, 1.446850e+36, 1e+39
3.412489e+15, 1.428245e+36, 1e+39
3.387006e+15, 1.409786e+36, 1e+39
3.361628e+15, 1.391473e+36, 1e+39
3.336355e+15, 1.373304e+36, 1e+39
3.311186e+15, 1.355280e+36, 1e+39
3.286121e+15, 1.337401e+36, 1e+39
3.261159e+15, 1.319665e+36, 1e+39
3.236301e+15, 1.302072e+36, 1e+39
3.211546e+15, 1.284622e+36, 1e+39
3.186894e+15, 1.267315e+36, 1e+39
3.162344e+15, 1.250150e+36, 1e+39
3.137897e+15, 1.233127e+36, 1e+39
3.113551e+15, 1.216245e+36, 1e+39
3.089307e+15, 1.199503e+36, 1e+39
3.065165e+15, 1.182903e+36, 1e+39
3.041123e+15, 1.166442e+36, 1e+39
3.017182e+15, 1.150121e+36, 1e+39
2.993342e+15, 1.133940e+36, 1e+39
2.969601e+15, 1.117897e+36, 1e+39
2.945961e+15, 1.101992e+36, 1e+39
2.922420e+15, 1.086225e+36, 1e+39
2.898978e+15, 1.070596e+36, 1e+39
2.875635e+15, 1.055104e+36, 1e+39
2.852391e+15, 1.039749e+36, 1e+39
2.829244e+15, 1.024530e+36, 1e+39
2.806196e+15, 1.009447e+36, 1e+39
2.783246e+15, 9.944995e+35, 1e+39
2.760393e+15, 9.796868e+35, 1e+39
2.737637e+15, 9.650087e+35, 1e+39
2.714977e+15, 9.504647e+35, 1e+39
2.692414e+15, 9.360544e+35, 1e+39
2.669947e+15, 9.217773e+35, 1e+39
