#energy density (MeV/fm^3),  pressure (MeV/fm^3),  baryon density (fm^-3) 
2387.6130177771, 944.7285093374, 1.6773253887
2387.3323933966, 944.5607839435, 1.6771842191
2387.0519537852, 944.3930726583, 1.6770428226
2386.7713794483, 944.2253754819, 1.6769007799
2386.4908120517, 944.0576924142, 1.6767596196
2386.2104246914, 943.8900234555, 1.6766182275
2385.9305097598, 943.7223686059, 1.6764777428
2385.6504923197, 943.5547278654, 1.6763371517
2385.3710976625, 943.3871012342, 1.6761968603
2385.0902349376, 943.2194887123, 1.6760552459
2384.8109377576, 943.0518902999, 1.6759149986
2384.5302820442, 942.884305997, 1.6757731643
2384.2507880136, 942.7167358039, 1.6756331052
2383.9694869579, 942.5491797204, 1.67549056
2383.6888849376, 942.3816377468, 1.6753487311
2383.4099470097, 942.2141098832, 1.6752092476
2383.1293831036, 942.0465961297, 1.6750674255
2382.8490873734, 941.8790964863, 1.6749259773
2382.5685568474, 941.7116109532, 1.6747841569
2382.2891314183, 941.5441395304, 1.6746440767
2382.0081380649, 941.3766822182, 1.674501694
2381.7284159128, 941.2092390165, 1.674360823
2381.4490544029, 941.0418099255, 1.6742211203
2381.168872762, 940.8743949452, 1.6740796911
2380.8884481439, 940.7069940759, 1.6739378803
2380.6088120586, 940.5396073175, 1.6737973932
2380.3286812361, 940.3722346702, 1.6736559672
2380.0491863334, 940.2048761341, 1.6735152159
2379.7670943098, 940.0375317093, 1.6733715278
2379.4903589721, 939.8702013959, 1.6732346758
2379.2080884527, 939.7028851939, 1.6730903032
2378.9292111873, 939.5355831035, 1.672951042
2378.6503055684, 939.3682951248, 1.6728108679
2378.3676559723, 939.201021258, 1.6726659798
2378.089766101, 939.0337615029, 1.672527814
2377.8089168698, 938.8665158599, 1.6723853793
2377.5304168337, 938.6992843291, 1.6722460089
2377.2485952264, 938.5320669105, 1.6721020753
2376.9709552418, 938.364863604, 1.6719640615
2376.689350484, 938.1976744101, 1.6718202787
2376.4100762295, 938.0304993285, 1.6716804314
2376.1316003938, 937.8633383598, 1.6715410267
2375.8500465651, 937.6961915036, 1.6713972471
2375.5711099705, 937.5290587602, 1.6712572829
2375.2914249775, 937.3619401298, 1.6711160038
2375.0103474698, 937.1948356124, 1.6709736311
2374.7314630519, 937.0277452081, 1.670833671
2374.453094824, 936.8606689172, 1.6706942786
2374.1710939514, 936.6936067394, 1.6705499107
2373.8927605132, 936.5265586751, 1.670410521
2373.6122738754, 936.3595247243, 1.6702687268
2373.3339785356, 936.1925048872, 1.6701293438
2373.0530451717, 936.0254991638, 1.6699861143
2372.7732897784, 935.8585075542, 1.6698450367
2372.4939912469, 935.6915300585, 1.6697044895
2372.2142706643, 935.5245666769, 1.6695634145
2371.9351763518, 935.3576174095, 1.6694226456
2371.655431295, 935.1906822563, 1.6692815362
2371.3767637335, 935.0237612175, 1.6691416019
2371.0962255293, 934.856854293, 1.6689991385
2370.8158761508, 934.6899614833, 1.668856455
2370.5373608584, 934.523082788, 1.6687175008
2370.2583744034, 934.3562182076, 1.6685767444
2369.9786760352, 934.189367742, 1.6684356074
2369.6982284543, 934.0225313913, 1.6682931551
2369.4201235412, 933.8557091558, 1.6681537607
2369.1391495923, 933.6889010353, 1.668010704
2368.8597564961, 933.5221070302, 1.6678693938
2368.580143825, 933.3553271405, 1.6677282625
2368.3019452484, 933.1885613663, 1.667589104
2368.0220432026, 933.0218097075, 1.6674471906
2367.7426557388, 932.8550721645, 1.6673058437
2367.4621267601, 932.6883487372, 1.6671635972
2367.1832727757, 932.5216394259, 1.6670228195
2366.9029453914, 932.3549442305, 1.6668803497
2366.6247933984, 932.1882631512, 1.6667411633
2366.3444383076, 932.0215961881, 1.6665986553
2366.0648414498, 931.8549433414, 1.6664569013
2365.7867401514, 931.6883046109, 1.6663177178
2365.5064374516, 931.521679997, 1.6661752141
2365.2266555916, 931.3550694998, 1.6660332832
2364.9481128514, 931.1884731191, 1.6658935427
2364.6688643807, 931.0218908553, 1.665752181
2364.3896431062, 930.8553227085, 1.665611189
2364.1094326191, 930.6887686786, 1.6654686977
2363.8318937875, 930.5222287659, 1.6653300539
2363.5517215978, 930.3557029703, 1.6651875695
2363.2725714813, 930.1891912921, 1.6650465842
2362.992371644, 930.0226937314, 1.6649040616
2362.7140787271, 929.8562102881, 1.6647640718
2362.436315971, 929.6897409627, 1.6646250225
2362.1553400792, 929.5232857547, 1.6644811477
2361.8763686286, 929.3568446646, 1.6643407776
2361.5954967505, 929.1904176926, 1.6641969534
2361.3192360522, 929.0240048385, 1.664059567
2361.038496693, 928.8576061025, 1.6639167174
2360.7591082819, 928.691221485, 1.663774554
2360.4804065316, 928.5248509856, 1.6636343393
2360.2022160895, 928.3584946048, 1.6634943302
2359.9227223942, 928.1921523425, 1.6633527632
2359.6445667998, 928.0258241989, 1.6632127569
2359.3637117013, 927.859510174, 1.6630688653
2359.0847735209, 927.693210268, 1.6629278738
2358.8051162638, 927.526924481, 1.6627861361
2358.5272094649, 927.360652813, 1.6626462799
2358.2490818624, 927.1943952642, 1.6625062436
2357.9691528319, 927.0281518347, 1.6623640828
2357.6895669174, 926.8619225246, 1.6622223519
2357.4121687707, 926.6957073341, 1.6620830303
2357.1304671736, 926.5295062631, 1.6619380287
2356.8552578068, 926.3633193119, 1.6618019873
2356.5739209192, 926.1971464801, 1.661657778
2356.2955960681, 926.0309877685, 1.6615173294
2356.0165539575, 925.8648431769, 1.6613761361
2355.7377706812, 925.6987127053, 1.6612351293
2355.4584324508, 925.532596354, 1.6610931484
2355.180187095, 925.366494123, 1.6609527159
2354.900067807, 925.2004060125, 1.6608097506
2354.6211164633, 925.0343320224, 1.6606685685
2354.3420332825, 924.868272153, 1.6605267438
2354.0647720043, 924.7022264043, 1.6603882748
2353.7857222319, 924.5361947764, 1.6602464517
2353.5060247045, 924.3701772694, 1.6601042877
2353.2273342647, 924.2041738835, 1.6599628953
2352.9494937539, 924.0381846188, 1.6598232203
2352.668962065, 923.8722094753, 1.6596796685
2352.391151473, 923.7062484531, 1.6595396354
2352.112807525, 923.5403015524, 1.6593993623
2351.8338898538, 923.3743687733, 1.6592575597
2351.5537477661, 923.2084501158, 1.6591144364
2351.2764570413, 923.04254558, 1.6589753051
2350.9965269096, 922.8766551662, 1.6588323269
2350.7202669503, 922.7107788744, 1.6586943306
2350.4397003552, 922.5449167045, 1.658550651
2350.1609903307, 922.3790686568, 1.6584098317
2349.883624818, 922.2132347315, 1.6582696955
2349.6044517332, 922.0474149286, 1.6581283126
2349.3252356803, 921.8816092482, 1.6579856515
2349.0459178017, 921.7158176902, 1.657844127
2348.7680680776, 921.5500402551, 1.6577033959
2348.4894612805, 921.3842769427, 1.6575625834
2348.2104852553, 921.2185277532, 1.6574209484
2347.9333444235, 921.0527926868, 1.6572817961
2347.6532474938, 920.8870717435, 1.657138022
2347.3761464352, 920.7213649233, 1.6569988778
2347.0964120207, 920.5556722265, 1.6568558932
2346.818998827, 920.3899936532, 1.6567168303
2346.5394698627, 920.2243292033, 1.6565736284
2346.2613837813, 920.0586788771, 1.6564333201
2345.9818948028, 919.8930426747, 1.6562901265
2345.7034049934, 919.727420596, 1.6561492917
2345.4250424721, 919.5618126413, 1.6560082
2345.1472001091, 919.3962188107, 1.6558676812
2344.8684388069, 919.2306391042, 1.6557260684
2344.5901287112, 919.065073522, 1.6555849808
2344.3113432716, 918.8995220642, 1.6554433338
2344.0338994993, 918.7339847308, 1.6553036078
2343.755149018, 918.5684615219, 1.6551619636
2343.4769137452, 918.4029524378, 1.6550208869
2343.1991936511, 918.2374574785, 1.6548803779
2342.920433118, 918.071976644, 1.6547386968
2342.6412598606, 917.9065099345, 1.6545964972
2342.362271702, 917.7410573501, 1.6544540771
2342.0847416576, 917.5756188909, 1.6543136802
2341.8060560641, 917.410194557, 1.6541720101
2341.5295989514, 917.2447843487, 1.6540336534
2341.2511174257, 917.0793882656, 1.6538917655
2340.9719901048, 916.9140063082, 1.6537495374
2340.6943731351, 916.7486384766, 1.6536090093
2340.4142822362, 916.5832847707, 1.6534656476
2340.1353816038, 916.417945191, 1.6533232087
2339.8601392653, 916.2526197371, 1.6531860933
2339.5802159703, 916.0873084093, 1.6530424838
2339.3021938122, 915.9220112078, 1.6529014019
2339.0255125804, 915.7567281328, 1.6527622403
2338.7446468804, 915.591459184, 1.6526175028
2338.4677872088, 915.4262043619, 1.6524776584
2338.1896657998, 915.2609636664, 1.6523368022
2337.9108413437, 915.0957370978, 1.6521943327
2337.6345131508, 914.930524656, 1.6520559231
2337.3554050895, 914.7653263411, 1.6519130332
2337.0761456415, 914.6001421534, 1.6517700125
2336.7990441418, 914.4349720927, 1.6516302546
2336.5221457272, 914.2698161595, 1.651490649
2336.2418716106, 914.1046743535, 1.6513464486
2335.9648309009, 913.9395466751, 1.6512067042
2335.686335328, 913.7744331243, 1.6510643997
2335.409267066, 913.6093337012, 1.650924617
2335.1295705543, 913.4442484059, 1.6507809994
2334.8522795094, 913.2791772385, 1.6506408357
2334.5736129031, 913.1141201993, 1.6504983534
2334.2979450176, 912.9490772881, 1.6503608549
2334.0189839508, 912.784048505, 1.6502175887
2333.7400410684, 912.6190338503, 1.6500755601
2333.4621190069, 912.4540333241, 1.6499337911
2333.1842058579, 912.2890469264, 1.6497928977
2332.9071425072, 912.1240746574, 1.6496524819
2332.629201861, 911.9591165172, 1.6495115502
2332.3511887718, 911.7941725058, 1.6493700154
2332.073281618, 911.6292426233, 1.6492290852
2331.7951467361, 911.46432687, 1.6490865502
2331.5157828216, 911.2994252458, 1.6489439243
2331.23976637, 911.1345377509, 1.6488046189
2330.961104283, 910.9696643854, 1.648662343
2330.6839587581, 910.8048051494, 1.6485221268
2330.4058289804, 910.6399600429, 1.64838042
2330.1274062314, 910.4751290663, 1.6482382999
2329.8498087577, 910.3103122193, 1.6480971622
2329.5727431038, 910.1455095023, 1.6479569621
2329.2952933557, 909.9807209154, 1.6478159255
2329.0162668418, 909.8159464585, 1.6476731042
2328.7383664407, 909.6511861319, 1.6475315163
2328.4608650316, 909.4864399356, 1.6473903952
2328.18464903, 909.3217078698, 1.6472515116
2327.9063024763, 909.1569899344, 1.6471093604
2327.627796909, 908.9922861298, 1.6469670701
2327.3514754441, 908.8275964559, 1.6468271878
2327.0730218005, 908.6629209128, 1.6466852697
2326.7955630873, 908.4982595008, 1.6465441162
2326.5173042194, 908.3336122197, 1.646401972
2326.2400670101, 908.1689790699, 1.6462609723
2325.9617807612, 908.0043600514, 1.6461187899
2325.6842324782, 907.8397551642, 1.6459778709
2325.4074824189, 907.6751644086, 1.6458374007
2325.1279998368, 907.5105877847, 1.6456933578
2324.8524348865, 907.3460252922, 1.6455550233
2324.5737427164, 907.1814769317, 1.6454119348
2324.2972186673, 907.016942703, 1.6452724706
2324.0183033934, 906.8524226065, 1.6451289997
2323.7413173183, 906.6879166418, 1.6449889719
2323.4648071543, 906.5234248097, 1.6448482637
2323.1863587437, 906.3589471098, 1.6447061826
2322.9087808487, 906.1944835423, 1.6445646022
2322.6325314955, 906.0300341074, 1.6444249284
2322.3531098558, 905.8655988052, 1.6442808289
2322.0769055091, 905.7011776357, 1.6441411686
2321.8006461904, 905.5367705991, 1.644001458
2321.5219283091, 905.3723776954, 1.6438589272
2321.2446254891, 905.2079989248, 1.643717138
2320.9672588862, 905.0436342874, 1.6435761703
2320.6890921012, 904.8792837833, 1.6434342111
2320.4122864059, 904.7149474126, 1.6432929623
2320.1336563411, 904.5506251754, 1.6431504384
2319.8580263997, 904.3863170719, 1.6430113143
2319.5797188863, 904.222023102, 1.6428683291
2319.301639849, 904.0577432659, 1.6427263768
2319.0251848035, 903.8934775638, 1.6425858761
2318.7471493405, 903.7292259957, 1.6424439361
2318.4715429144, 903.5649885618, 1.6423047767
2318.1937140425, 903.4007652621, 1.6421626239
2317.9161655591, 903.2365560967, 1.6420212132
2317.6391313705, 903.0723610658, 1.64188037
2317.3596443114, 902.9081801697, 1.6417354814
2317.0864648031, 902.744013408, 1.6415997535
2316.8076647619, 902.5798607809, 1.6414564319
2316.531367448, 902.4157222889, 1.641315944
2316.2534375288, 902.2515979319, 1.6411739861
2315.9756212628, 902.0874877099, 1.6410317603
2315.6983932592, 901.9233916232, 1.6408901551
2315.4214369496, 901.7593096718, 1.6407492821
2315.1442425262, 901.5952418558, 1.6406076785
2314.8655133217, 901.4311881754, 1.6404643369
2314.5916049522, 901.2671486305, 1.6403272307
2314.3129732755, 901.1031232213, 1.6401839328
2314.0352900741, 900.939111948, 1.6400417278
2313.7584475299, 900.7751148106, 1.6399008726
2313.4821191201, 900.6111318094, 1.639760585
2313.2041151212, 900.4471629442, 1.6396179265
2312.9274953877, 900.2832082153, 1.6394768596
2312.6494035116, 900.1192676229, 1.6393340956
2312.3734192996, 899.9553411668, 1.6391945653
2312.0965410739, 899.7914288473, 1.6390530858
2311.8205802396, 899.6275306647, 1.638913546
2311.5422424617, 899.4636466186, 1.6387700168
2311.2648564455, 899.2997767096, 1.638627933
2310.9889598159, 899.1359209375, 1.6384884095
2310.7114336912, 898.9720793025, 1.6383461903
2310.4337564433, 898.8082518048, 1.6382041893
2310.1579301085, 898.6444384445, 1.6380638097
2309.8786512952, 898.4806392217, 1.6379191256
2309.603512359, 898.3168541361, 1.6377803118
2309.3268343763, 898.1530831883, 1.6376394065
2309.0489274578, 897.9893263783, 1.6374966407
2308.7729661899, 897.8255837062, 1.6373564532
2308.4947583242, 897.6618551722, 1.6372128981
2308.2189831747, 897.4981407759, 1.6370733568
2307.943136859, 897.334440518, 1.6369332143
2307.6645888113, 897.1707543983, 1.6367900635
2307.3902027488, 897.0070824173, 1.63665158
2307.1105416223, 896.8434245745, 1.6365063038
2306.8351978896, 896.6797808703, 1.6363666908
2306.5582093065, 896.5161513049, 1.6362252442
2306.2813593506, 896.3525358784, 1.6360839052
2306.0049006864, 896.1889345907, 1.6359430263
2305.7271625003, 896.0253474422, 1.6357998188
2305.4503551352, 895.8617744327, 1.6356584732
2305.1742948522, 895.6982155625, 1.6355179612
2304.8981796244, 895.5346708317, 1.6353773988
2304.6206032663, 895.3711402402, 1.6352351501
2304.3452000432, 895.2076237885, 1.6350949532
2304.0672249769, 895.0441214763, 1.634952182
2303.7906938843, 894.880633304, 1.6348110699
2303.5143493421, 894.7171592716, 1.6346697436
2303.2376403707, 894.5536993791, 1.6345283898
2302.9616581886, 894.3902536268, 1.6343878479
2302.6833816061, 894.2268220147, 1.6342442613
2302.4084370888, 894.0634045429, 1.6341048655
2302.1299725923, 893.9000012116, 1.6339610263
2301.8548925715, 893.7366120207, 1.6338218473
2301.5784483008, 893.5732369706, 1.633680715
2301.3020212277, 893.4098760611, 1.6335391447
2301.0241237257, 893.2465292925, 1.6333963167
2300.7477420041, 893.083196665, 1.6332547602
2300.4722519876, 892.9198781785, 1.6331150205
2300.1958430676, 892.7565738331, 1.6329734259
2299.9190081939, 892.5932836291, 1.6328317359
2299.6417148091, 892.4300075664, 1.6326890636
2299.3667287301, 892.2667456453, 1.6325498546
2299.0884043734, 892.1034978657, 1.6324059998
2298.8133089378, 891.9402642279, 1.6322658113
2298.5367366381, 891.7770447319, 1.632124704
2298.2589514034, 891.6138393778, 1.6319818478
2297.9841814706, 891.4506481658, 1.6318419741
2297.7080939923, 891.287471096, 1.6317013947
2297.4306048708, 891.1243081684, 1.6315583813
2297.1543996733, 890.9611593832, 1.6314168135
2296.8783649127, 890.7980247404, 1.6312762382
2296.6016251956, 890.6349042401, 1.6311344928
2296.3249752686, 890.4717978827, 1.6309923617
2296.0494891544, 890.308705668, 1.6308523566
2295.7720635881, 890.1456275962, 1.6307088941
2295.4975421272, 889.9825636674, 1.6305699831
2295.2194752171, 889.8195138816, 1.6304265981
2294.9448330776, 889.6564782392, 1.6302866967
2294.6670740537, 889.4934567401, 1.6301436249
2294.3912076324, 889.3304493844, 1.6300030726
2294.115961641, 889.1674561724, 1.6298628329
2293.8385972854, 889.0044771039, 1.62971934
2293.5627197173, 888.8415121792, 1.6295787496
2293.2865347889, 888.6785613983, 1.6294373819
2293.0108648528, 888.5156247615, 1.629296583
2292.7336611744, 888.3527022687, 1.6291540448
2292.4577102221, 888.1897939202, 1.6290124799
2292.180541821, 888.0268997159, 1.6288699446
2291.9054467222, 887.8640196561, 1.6287297271
2291.6288093424, 887.7011537408, 1.6285877608
2291.3527578758, 887.5383019701, 1.6284464138
2291.0774921512, 887.3754643441, 1.6283059444
2290.8000957919, 887.2126408631, 1.6281626475
2290.5266672076, 887.049831527, 1.628025085
2290.2474958341, 886.8870363358, 1.6278793156
2289.9744353568, 886.72425529, 1.6277421052
2289.6966154325, 886.5614883892, 1.6275982492
2289.4216147208, 886.398735634, 1.6274580021
2289.1440924743, 886.2359970241, 1.6273148862
2288.8694717539, 886.07327256, 1.6271750038
2288.592154318, 885.9105622416, 1.6270316776
2288.3157473069, 885.747866069, 1.6268897488
2288.0396301523, 885.5851840423, 1.6267481313
2287.7654944494, 885.4225161616, 1.626609197
2287.4881574638, 885.2598624271, 1.6264657118
2287.2122542898, 885.0972228388, 1.6263243139
2286.9370276122, 884.9345973969, 1.6261840456
2286.6608352336, 884.7719861015, 1.626041873
2286.3848237471, 884.6093889526, 1.6259002638
2286.109747138, 884.4468059504, 1.625760173
2285.8324656682, 884.2842370951, 1.6256166679
2285.5584791952, 884.1216823866, 1.6254777543
2285.2814935064, 883.9591418251, 1.6253349872
2285.0055685178, 883.7966154107, 1.6251933836
2284.7302674532, 883.6341031437, 1.6250525347
2284.4551351823, 883.4716050239, 1.6249122365
2284.1788868017, 883.3091210516, 1.6247698301
2283.9029702573, 883.1466512268, 1.624628629
2283.6263239849, 882.9841955497, 1.6244857002
2283.3508859563, 882.8217540203, 1.6243446006
2283.0753565004, 882.6593266389, 1.6242037539
2282.7998530635, 882.4969134054, 1.6240621368
2282.5238736897, 882.33451432, 1.6239207378
2282.2466957914, 882.1721293829, 1.6237771685
2281.9723973646, 882.009758594, 1.6236372476
2281.6964086071, 881.8474019536, 1.6234958119
2281.4201653967, 881.6850594617, 1.6233536306
2281.1450484206, 881.5227311185, 1.6232123414
2280.8696079092, 881.360416924, 1.6230714759
2280.5938594509, 881.1981168783, 1.6229298339
2280.3189479138, 881.0358309817, 1.6227895359
2280.0415962102, 880.8735592342, 1.6226452116
2279.7672168309, 880.7113016357, 1.6225054838
2279.491691378, 880.5490581866, 1.622364834
2279.2148880795, 880.3868288869, 1.6222210802
2278.9406691066, 880.2246137367, 1.6220811043
2278.6633971645, 880.0624127361, 1.6219379949
2278.3892118261, 879.9002258853, 1.6217980205
2278.1121466982, 879.7380531843, 1.6216547039
2277.8378471561, 879.5758946333, 1.6215145285
2277.5612400558, 879.4137502323, 1.621371729
2277.286207298, 879.2516199815, 1.6212306798
2277.0122741222, 879.089503881, 1.6210917105
2276.7360625589, 878.9274019307, 1.6209492749
2276.4614533921, 878.7653141311, 1.6208087145
2276.1844497606, 878.603240482, 1.6206653669
2275.9099381103, 878.4411809837, 1.6205248501
2275.6341311259, 878.2791356362, 1.6203832069
2275.3590973405, 878.1171044396, 1.620242086
2275.0834868657, 877.9550873941, 1.6201002249
2274.8080035928, 877.7930844997, 1.6199585518
2274.5320428712, 877.6310957566, 1.619816314
2274.2577990699, 877.4691211649, 1.6196763649
2273.9813785715, 877.3071607245, 1.6195335638
2273.7054810669, 877.1452144359, 1.6193909047
2273.4312264577, 876.9832822989, 1.6192513542
2273.1553642872, 876.8213643137, 1.619108698
2272.8806600341, 876.6594604804, 1.6189681585
2272.6042657471, 876.4975707992, 1.6188253238
2272.3279600119, 876.3356952703, 1.6186821045
2272.0552905113, 876.1738338933, 1.6185442715
2271.7800995108, 876.0119866688, 1.6184031305
2271.5038571708, 875.8501535967, 1.6182599267
2271.2280447302, 875.6883346773, 1.6181176639
2270.9539070337, 875.5265299105, 1.6179776704
2270.6783020218, 875.3647392965, 1.6178359799
2270.4026150516, 875.2029628355, 1.6176933369
2270.1291866843, 875.0412005274, 1.6175541302
2269.8525825494, 874.8794523724, 1.6174112708
2269.5764019048, 874.7177183708, 1.6172680365
2269.3033685834, 874.5559985224, 1.6171291932
2269.027546411, 874.3942928275, 1.6169867363
2268.7520028081, 874.2326012861, 1.6168450146
2268.4768915312, 874.0709238985, 1.6167029282
2268.2000586205, 873.9092606645, 1.6165597263
2267.9271149607, 873.7476115845, 1.6164208912
2267.6518122696, 873.5859766585, 1.6162789655
2267.3752250286, 873.4243558868, 1.6161351458
2267.1024230786, 873.2627492691, 1.6159972565
2266.8255483217, 873.1011568057, 1.6158526655
2266.5506496985, 872.9395784968, 1.6157115308
2266.2757790291, 872.7780143425, 1.6155699726
2266.0014088868, 872.6164643427, 1.6154294054
2265.725745587, 872.4549284978, 1.6152869347
2265.4508554012, 872.2934068078, 1.6151457647
2265.1778625362, 872.1318992729, 1.6150071202
2264.9000586942, 871.9704058929, 1.6148613656
2264.6262835959, 871.8089266681, 1.6147213839
2264.352118256, 871.6474615987, 1.6145813409
2264.077004057, 871.4860106847, 1.6144394152
2263.8019059521, 871.3245739263, 1.6142974896
2263.5263324681, 871.1631513235, 1.6141550007
2263.2516027821, 871.0017428765, 1.6140134271
2262.9763857433, 870.8403485854, 1.6138717133
2262.7021757036, 870.6789684502, 1.613731133
2262.4279936684, 870.5176024712, 1.6135901297
