# energy density [MeV fm-3], pressure [MeV fm-3], baryon density [1/fm-3], chemical potential [MeV]
2196.760958, 878.617262, 1.547439, 1987.400000
2196.502094, 878.462525, 1.547307, 1987.300000
2196.245572, 878.307800, 1.547179, 1987.200000
2195.987892, 878.153089, 1.547049, 1987.100000
2195.729416, 877.998391, 1.546918, 1987.000000
2195.472944, 877.843705, 1.546790, 1986.900000
2195.214316, 877.689033, 1.546660, 1986.800000
2194.956994, 877.534373, 1.546530, 1986.700000
2194.699735, 877.379727, 1.546401, 1986.600000
2194.440945, 877.225093, 1.546270, 1986.500000
2194.184883, 877.070473, 1.546142, 1986.400000
2193.924970, 876.915865, 1.546009, 1986.300000
2193.670380, 876.761270, 1.545883, 1986.200000
2193.410721, 876.606689, 1.545751, 1986.100000
2193.153503, 876.452120, 1.545622, 1986.000000
2192.895816, 876.297564, 1.545492, 1985.900000
2192.638795, 876.143021, 1.545363, 1985.800000
2192.381806, 875.988492, 1.545234, 1985.700000
2192.124324, 875.833975, 1.545104, 1985.600000
2191.865980, 875.679471, 1.544973, 1985.500000
2191.609030, 875.524980, 1.544845, 1985.400000
2191.352111, 875.370502, 1.544716, 1985.300000
2191.093981, 875.216037, 1.544585, 1985.200000
2190.835918, 875.061585, 1.544455, 1985.100000
2190.579146, 874.907146, 1.544326, 1985.000000
2190.323562, 874.752720, 1.544198, 1984.900000
2190.063512, 874.598307, 1.544065, 1984.800000
2189.807180, 874.443907, 1.543937, 1984.700000
2189.548818, 874.289520, 1.543806, 1984.600000
2189.293298, 874.135145, 1.543679, 1984.500000
2189.035129, 873.980784, 1.543548, 1984.400000
2188.778259, 873.826436, 1.543419, 1984.300000
2188.519137, 873.672101, 1.543287, 1984.200000
2188.263671, 873.517778, 1.543160, 1984.100000
2188.004200, 873.363469, 1.543027, 1984.000000
2187.748609, 873.209173, 1.542900, 1983.900000
2187.491321, 873.054889, 1.542770, 1983.800000
2187.234271, 872.900619, 1.542641, 1983.700000
2186.976194, 872.746361, 1.542509, 1983.600000
2186.719110, 872.592117, 1.542381, 1983.500000
2186.463449, 872.437885, 1.542253, 1983.400000
2186.204748, 872.283667, 1.542121, 1983.300000
2185.948067, 872.129461, 1.541992, 1983.200000
2185.689899, 871.975269, 1.541861, 1983.100000
2185.433684, 871.821089, 1.541733, 1983.000000
2185.177378, 871.666922, 1.541604, 1982.900000
2184.916773, 871.512769, 1.541470, 1982.800000
2184.662324, 871.358628, 1.541344, 1982.700000
2184.403681, 871.204500, 1.541212, 1982.600000
2184.146290, 871.050385, 1.541082, 1982.500000
2183.889518, 870.896283, 1.540953, 1982.400000
2183.634078, 870.742195, 1.540825, 1982.300000
2183.374741, 870.588119, 1.540693, 1982.200000
2183.119828, 870.434056, 1.540566, 1982.100000
2182.861966, 870.280006, 1.540435, 1982.000000
2182.604442, 870.125969, 1.540305, 1981.900000
2182.345610, 869.971945, 1.540173, 1981.800000
2182.090772, 869.817934, 1.540046, 1981.700000
2181.833620, 869.663936, 1.539917, 1981.600000
2181.577120, 869.509951, 1.539787, 1981.500000
2181.318182, 869.355979, 1.539655, 1981.400000
2181.063522, 869.202019, 1.539528, 1981.300000
2180.804293, 869.048073, 1.539396, 1981.200000
2180.548012, 868.894140, 1.539267, 1981.100000
2180.290639, 868.740220, 1.539137, 1981.000000
2180.035549, 868.586313, 1.539009, 1980.900000
2179.778817, 868.432418, 1.538880, 1980.800000
2179.519113, 868.278537, 1.538747, 1980.700000
2179.264073, 868.124669, 1.538620, 1980.600000
2179.006246, 867.970813, 1.538488, 1980.500000
2178.749240, 867.816971, 1.538359, 1980.400000
2178.492754, 867.663141, 1.538230, 1980.300000
2178.235975, 867.509325, 1.538100, 1980.200000
2177.979022, 867.355522, 1.537970, 1980.100000
2177.722863, 867.201731, 1.537841, 1980.000000
2177.466119, 867.047953, 1.537712, 1979.900000
2177.207850, 866.894189, 1.537580, 1979.800000
2176.951904, 866.740437, 1.537451, 1979.700000
2176.694874, 866.586699, 1.537322, 1979.600000
2176.438637, 866.432973, 1.537192, 1979.500000
2176.182087, 866.279260, 1.537063, 1979.400000
2175.925223, 866.125561, 1.536933, 1979.300000
2175.665714, 865.971874, 1.536800, 1979.200000
2175.411211, 865.818200, 1.536673, 1979.100000
2175.155709, 865.664539, 1.536545, 1979.000000
2174.896270, 865.510892, 1.536412, 1978.900000
2174.640754, 865.357257, 1.536284, 1978.800000
